step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,vdd_gpu_mw,vdd_cpu_mw
0,1127.8767995536327,92.89945662021637,348.4166394919157,1740.3113916516304,3322.9757752269506,1.0860589742660522,0.4166666865348816,0.2357022911310196,20.39947276366162,0,12920,7573,1974
1,651.0569602251053,60.954175889492035,97.52928093075752,298.5839042812586,1108.3391048014164,1.0113813877105713,0.4583333730697632,0.176776722073555,41.708451853295976,0,14830,10605,2055
2,652.122912928462,59.06262435019016,98.12304005026817,298.24928008019924,1107.7805440872908,1.0032540559768677,0.4583333730697632,0.176776722073555,57.11688373166388,0,15537,13222,2084
3,650.1966398209333,59.26447920501232,98.36025722324848,301.01680010557175,1109.0581454336643,1.0002994537353516,0.4583333730697632,0.176776722073555,58.68775096067666,0,15761,14252,2078
4,650.6529916077852,59.43203344941139,98.73459115624428,298.94697666168213,1107.9837121069431,0.9813041687011719,0.4166666865348816,0.2357022911310196,55.207825394846026,0,15829,14263,2098
5,653.6135040223598,59.78492833673954,97.85519912838936,295.57136073708534,1107.0540808141232,0.9865435361862183,0.4166666865348816,0.2357022911310196,58.995677742379264,0,15856,14535,2073
6,653.2397773116827,60.19126437604427,96.94787301123142,300.02111941576004,1110.618656501174,0.13074474036693573,0.4166666865348816,0.2357022911310196,55.33306439745509,0,15864,14348,2097
7,382.7726077288389,60.285281389951706,99.8708475381136,298.84140752255917,842.0128636062145,-0.0003237155906390399,0.2857142984867096,0.0,58.68180456192282,0,15864,14920,2086
8,651.9651524722576,59.46921743452549,98.78111816942692,300.405889749527,1110.8378246426582,0.008475776761770248,0.2916666865348816,0.0589255727827549,61.81351856280387,0,15865,14789,2092
9,654.518848285079,59.833407402038574,97.92390465736389,298.6435517668724,1111.14108748734,-0.15832416713237762,0.2083333432674408,0.058925561606884,59.87892026085377,0,15865,14720,2079
10,656.7797120660543,59.798622503876686,97.50060923397541,299.2419842630625,1113.5423369705677,0.7638446092605591,0.3333333432674408,0.35355344414711,55.28458829722678,0,15865,14442,2099
11,654.1923191398382,59.768736362457275,98.10646437108517,296.1257603019476,1108.416160568595,1.0948657989501953,0.5,0.1178511455655098,58.62803457316298,0,15865,14590,2073
12,653.3497273921967,60.24022400379181,97.94905595481396,298.5774390399456,1110.3393267840147,0.17230594158172607,0.4166666865348816,0.0,55.22564022969934,0,15865,14388,2097
13,650.3763534128666,59.81270223855972,97.16067276895046,298.45078475773335,1106.0234252363443,1.0430169105529785,0.4583333730697632,0.176776722073555,61.27918823152383,0,15865,14547,2116
14,383.54710303246975,59.943774715065956,98.31999987363815,297.09408059716225,839.1282558441162,-0.0012324933195486665,0.2857142984867096,0.0,61.0263649490889,0,15865,15074,2107
15,652.906047180295,59.77852828800678,97.45452739298344,299.5464000850916,1109.9066883325577,0.012483087368309498,0.2916666865348816,0.0589255727827549,59.793027425119476,0,15865,14960,2085
16,653.3500477671623,59.68771129846573,97.93683141469955,300.5587849766016,1111.7544006556273,1.222400188446045,0.5416666865348816,0.05892559140920639,55.36636976144718,0,15865,14547,2121
17,651.4956150203943,59.97100844979286,98.13526459038258,299.14095997810364,1108.961472287774,1.0704134702682495,0.5,0.1178511455655098,59.02563924955909,0,15865,14643,2080
18,651.2462720274925,59.563999995589256,98.44115190207958,298.856383189559,1108.3267834037542,1.0916481018066406,0.5,0.1178511455655098,55.2306111638416,0,15865,14370,2100
19,649.3868809193373,59.61942300200462,97.79888018965721,300.85308849811554,1107.8800968825817,0.9773100018501282,0.4166666865348816,0.2357022911310196,61.47782886643015,0,15865,14552,2147
20,650.5679041147232,59.900928288698196,97.25638292729855,295.75967974960804,1103.702686727047,1.0823533535003662,0.5,0.1178511455655098,56.045160555381614,0,15865,14339,2163
21,648.7024649977684,59.891168028116226,97.57203236222267,300.1707512885332,1106.5592002123594,0.8900723457336426,0.3333333432674408,0.35355344414711,61.11944583543406,0,15865,14517,2166
22,650.4013128578663,60.22972799837589,97.5850559771061,298.8116480410099,1107.24819265306,0.09304680675268173,0.375,0.0589255727827549,59.83470068055803,0,15865,14722,2123
23,654.3023679405451,60.079550370574,97.63235226273537,299.6827531605959,1111.9159366935492,0.39559006690979004,0.3333333432674408,0.35355344414711,56.29278299384738,0,15865,14427,2114
24,654.0266573429108,60.09372882544994,97.90828637778759,299.16620813310146,1111.4196479320526,1.0359411239624023,0.5,0.1178511455655098,58.94798980687426,0,15865,14571,2079
25,652.8807692229748,59.89270471036434,97.99551963806152,299.7149769216776,1110.7068173587322,0.004917670972645283,0.2916666865348816,0.0589255727827549,54.96115403749162,0,15865,14383,2099
26,653.2992329448462,60.008639469742775,97.681088373065,299.1325128823519,1110.351201146841,-0.07404585182666779,0.2083333432674408,0.058925561606884,57.40660231288956,0,15865,14500,2097
27,653.1183682382107,60.13619154691696,97.6815689355135,298.74803125858307,1109.907167032361,1.1032782793045044,0.5416666865348816,0.05892559140920639,58.79093956154944,0,15865,14681,2101
28,651.4644175767899,59.950144961476326,97.7464634925127,296.4600957930088,1105.8414410799742,1.1232086420059204,0.5,0.1178511455655098,55.186075379434435,0,15865,14432,2147
29,652.8608649969101,60.025664046406746,97.6799689233303,298.8199032843113,1109.6025928854942,1.3407819271087646,0.5416666865348816,0.05892559140920639,58.869692597737995,0,15865,14614,2139
30,381.4388792961836,59.96239930391312,98.1343686580658,297.3131202161312,837.0699528604746,-0.002654488431289792,0.2857142984867096,0.0,62.65088979610592,0,15865,15157,2093
31,653.2151680439711,59.90784056484699,98.30956906080246,299.1917748004198,1110.8442228287458,1.0279033184051514,0.5,0.1178511455655098,56.62652516468322,0,15867,14611,2102
32,650.3150407224894,59.935905039310455,97.9843195527792,300.63718371093273,1109.0864315629005,1.3617546558380127,0.5833333730697632,0.0,61.63045099812464,0,15867,14587,2128
33,652.0676799118519,60.44127978384495,97.3676797002554,299.8082246631384,1109.9052801728249,1.279497504234314,0.5833333730697632,0.0,60.17517245905702,0,15867,14705,2128
34,651.370208710432,59.75475162267685,97.84143976867199,299.2640007287264,1108.4702089428902,1.0454787015914917,0.5,0.1178511455655098,58.643649660372496,0,15867,14516,2157
35,649.6121920645237,59.974368661642075,98.15097600221634,300.49411207437515,1108.4519363939762,1.0723587274551392,0.5,0.1178511455655098,59.25390728305462,0,15868,14659,2153
36,650.6717130541801,60.17532758414745,96.99567966163158,296.05468921363354,1104.1147205978632,1.012105107307434,0.4583333730697632,0.176776722073555,55.63738604678552,0,15868,14396,2163
37,381.3310079276562,59.63855981826782,98.19884784519672,299.7491843998432,839.1515519469976,-0.0012337291846051812,0.2857142984867096,0.0,58.3423902632527,0,15868,15022,2126
38,649.9706543982029,59.92409586906433,98.2906874269247,295.94406485557556,1104.3658554553986,0.48833122849464417,0.5,0.0,61.33199430239675,0,15868,14862,2171
39,649.9477121978998,59.82339195907116,97.86035120487213,300.0693768262863,1107.9236157238483,-0.04372650012373924,0.2083333432674408,0.1767766922712326,55.989942217181785,0,15868,14491,2189
40,650.3120642155409,59.748223051428795,97.70102426409721,295.9642559289932,1103.9433907717466,0.8314523696899414,0.3333333432674408,0.35355344414711,61.076392638008464,0,15868,14572,2166
41,648.5904641449451,59.86511893570423,97.88355231285095,298.79247955977917,1105.3685434162617,0.9730945229530334,0.4166666865348816,0.2357022911310196,60.26621488781032,0,15868,14804,2140
