condition,seed,grpo_elapsed_s,grpo_energy_total_j,grpo_energy_per_step_j,grpo_step_total_mean_ms,grpo_step_total_p50_ms,grpo_step_total_p99_ms,grpo_mem_peak_ram_mb,grpo_torch_peak_alloc_mb,grpo_gpu_util_mean_pct,grpo_final_reward_mean,grpo_oom,override_fire_count,override_fire_rate,llm_inf_latency_mean_ms,llm_inf_latency_p99_ms,llm_inf_n_prompts,perception_fps_actual,perception_latency_mean_ms,perception_latency_p99_ms,perception_n_frames,n_tegrastats_samples
with_critic,0,232.75864972919226,4522.334511115511,22.611672555577556,1162.9553281888366,1162.8784975036979,1394.2108684033155,20869.0,10537.962890625,72.60786201812179,0.4166666865348816,0,1,0.005,661.132105691057,728.42556,123,29.929174667202012,7.342886748633879,10.671339999999992,7320,2255
with_critic,1,238.27940294332802,4562.338762335594,22.81169381167797,1190.5435688234866,1194.1061271354556,1432.3033315129576,20351.0,10537.962890625,71.36729323581659,0.3333333432674408,0,1,0.005,633.7785873015873,737.38175,126,29.92970451345806,7.33671682718031,10.544,7476,2303
with_critic,2,235.393170081079,4575.22999039586,22.8761499519793,1176.0025924444199,1176.7591200768948,1420.441488455981,20266.0,10537.962890625,71.81143975051462,0.3333333432674408,0,1,0.005,639.6174080000001,751.8554,125,29.92892735973279,7.268827427644036,10.722069999999999,7394,2277
without_critic,0,229.87853692658246,4460.843303800043,22.304216519000214,1148.6433566268533,1153.9940312504768,1375.257290676236,20559.0,10526.89892578125,72.38574180977508,0.4166666865348816,0,1,0.005,644.6509590163936,734.8188299999999,122,29.929620009920082,7.29603347627611,10.700200000000002,7229,2224
without_critic,1,233.0433233603835,4479.008102514428,22.39504051257214,1164.3664746545255,1172.1268640831113,1424.8799211531878,20195.0,10526.89892578125,71.77035304627553,0.3333333432674408,0,1,0.005,631.1010813008129,736.3698999999999,123,29.92980645006549,7.297173948661934,10.559309999999998,7324,2253
without_critic,2,229.84617609716952,4483.764493474175,22.418822467370873,1148.4402354341,1142.237071879208,1383.6562263965607,20218.0,10526.89892578125,72.12693376371838,0.4583333730697632,0,1,0.005,637.1759180327869,723.6616399999999,122,29.93035698148364,7.270238615916956,10.597520000000001,7225,2224
