# Throughput,Latency,Energy,Memory
1.000000000000000000e+00,-7.523645559946695593e-01,-9.641533295313516883e-01,-1.251898209253946848e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666297e-01,-8.288381099700927734e-01,-5.498390595118204383e-01,-1.468146691719690866e-01
6.666666666666666297e-01,-6.289247671763101843e-01,-6.604444781939188269e-01,-1.015594551960627284e-01
3.333333333333333148e-01,-4.016215801239013672e-01,-3.334087133407592773e-01,-5.941944817701975273e-02
