ablation,n,mean_hv,std_hv,mean_step_lat_ms,std_step_lat_ms,mean_p99_lat_ms,std_p99_lat_ms,mean_peak_memory,std_peak_memory,mean_energy_j,std_energy_j,mean_n_steps
none,15,0.0002618388355030832,0.0001256289373816877,0.05519579713882503,0.0006887313487548392,0.06763752674063045,0.0017656998433219957,0.20466666666666666,0.040420409743216645,0.0012562384246397856,0.00013600320139461774,926.2666666666667
preference_plane,15,0.0002618982882772234,0.000125832844411336,0.05486081492845503,0.0009206226969588467,0.06674492359161376,0.0010640557146267887,0.20466666666666666,0.040420409743216645,0.0012562384246397856,0.00013600320139461774,926.2666666666667
resource_manager,15,0.00026191824189220097,0.00012587600601302894,0.05479255383789172,0.000987157774442347,0.06628609697024027,0.0013083382297714764,0.20466666666666666,0.040420409743216645,0.0012562384246397856,0.00013600320139461774,926.2666666666667
override_layer,15,0.0002368974180409716,0.00014138684794983032,0.051287892210699314,0.00027251603562419385,0.06357852245370546,0.0022007321993449437,0.183,0.05781126929191969,0.0017505095224521795,0.0004009562102298482,503.3333333333333
