env_name,agent_type,ablation,platform,seed,n_episodes,n_steps,mean_reward,override_fire_count,tail_p99_ms,mean_energy_j,mean_memory_util,wall_time_s
CartPole-v1,preference_ppo,none,orin_nano,0,20,189,1.000000,189,0.157236,0.001000,0.134119,0.036432
CartPole-v1,preference_ppo,none,orin_nano,0,20,189,1.000000,189,0.165626,0.001000,0.134252,0.045991
CartPole-v1,preference_ppo,none,orin_nano,0,20,189,1.000000,189,0.210962,0.001000,0.134252,0.055998
