omega_name,n_episodes,n_steps,mean_scalarised_reward,tail_p99_ms,mean_energy_step,mean_memory_delta,wall_time_s
energy_corner,200,5997,-0.1755335324800907,1.2205260386690497,0.1755335324800907,0.17562327944319983,6.613094879954588
memory_corner,200,5997,-0.17562327944319983,1.2609382346272469,0.1755335324800907,0.17562327944319983,6.707939136016648
center,200,5997,-0.04931531767507623,1.2499904236756265,0.1755335324800907,0.17562327944319983,6.60281049599871
