agent,env,n,mean_hv,std_hv,mean_n_pareto_points
dvfs_drl_multitask,CartPole-v1,15,0.0003598950079182678,9.138608157949108e-05,5.2
dvfs_drl_multitask,dag_scheduler_mo-v0,15,2.2675183915081707e-05,4.530620100703498e-05,21.4
preference_ppo,CartPole-v1,15,0.0002617680475792015,0.00010864497176300647,8.933333333333334
preference_ppo,dag_scheduler_mo-v0,15,3.9720803852158485e-06,5.280806187066206e-06,6.533333333333333
