step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,vdd_gpu_mw,vdd_cpu_mw
0,1191.8016951531172,98.38444739580154,356.58006370067596,1938.4156167507172,3586.6992957890034,-1.0910382270812988,-0.05000000074505806,0.0707106813788414,19.886171867318097,0,13345,7208,2590
1,671.923840418458,62.916383147239685,103.73231954872608,292.473504319787,1131.6850241273642,-1.0701019763946533,0.0,0.0,42.87396480944129,0,15288,10604,2412
2,675.8179515600204,60.85516884922981,104.58969511091709,292.46028885245323,1134.0593602508307,-1.2275254726409912,-0.04545454680919647,0.06428243964910507,53.240077289662466,0,15903,13067,2206
3,674.8063992708921,61.10057607293129,104.94975931942463,293.0013444274664,1134.187776595354,-1.1570738554000854,-0.05000000074505806,0.0707106813788414,57.32690257247665,0,16096,13979,2140
4,673.6712623387575,61.141280457377434,104.59036752581596,292.6312331110239,1132.3973760008812,-1.1210390329360962,0.0,0.0,58.36161759240225,0,16158,14298,2095
5,673.9774066954851,61.10464036464691,104.43603247404099,292.5098240375519,1132.3596481233835,-1.0246436595916748,0.0555555559694767,0.07856742292642593,54.51197746273153,0,16178,14049,2103
6,673.121951520443,61.38272024691105,103.76508720219135,292.4133762717247,1131.0173440724611,-0.18683777749538422,0.10555555671453476,0.007856741547584534,54.21528510441443,0,16186,14152,2100
7,394.01289634406567,61.598336324095726,105.6276485323906,292.63401590287685,854.2090877890587,-0.05923312157392502,0.0,0.0,54.22530383825183,0,16186,14723,2099
8,674.5702400803566,61.244769021868706,105.44214397668839,292.3898231238127,1134.0040639042854,-0.18016961216926575,0.10101009905338287,0.014284984208643436,54.34026573453318,0,16188,14451,2098
9,672.3485756665468,61.84822507202625,104.31132838129997,292.3837434500456,1131.2205754220486,-0.4627948999404907,0.0,0.1414213627576828,55.34871493188286,0,16188,14359,2147
10,673.9937923848629,61.342207714915276,103.77654433250427,287.91027143597603,1127.3542400449514,-1.2923640012741089,0.0,0.0,58.342116977629644,0,16188,14398,2098
11,676.8979839980602,61.95705570280552,104.18432019650936,292.45676659047604,1135.8386874198914,-1.1294634342193604,0.0,0.0,58.51838429117247,0,16188,14428,2082
12,676.1199682950974,61.747072264552116,104.71395216882229,292.7034553140402,1135.6367357075214,-0.46279826760292053,-0.05000000074505806,0.0707106813788414,53.818521772118366,0,16190,14085,2100
13,677.0658567547798,62.06665560603142,104.45808060467243,288.2349118590355,1132.1863997727633,-1.1784130334854126,0.0,0.0,54.08273756078111,0,16190,14110,2098
14,395.98764665424824,61.904288828372955,104.59299199283123,291.89667105674744,854.7470066696405,-0.026311473920941353,0.1666666716337204,0.0,55.563173386951654,0,16190,14697,2098
15,676.5587199479342,61.92099116742611,104.80252839624882,292.91974380612373,1136.5470085293055,-0.5358279943466187,-0.27272728085517883,0.12856487929821014,54.40063930710133,0,16190,14490,2098
16,675.928384065628,61.624160036444664,104.51408103108406,288.1223037838936,1130.5532157421112,-1.2604951858520508,0.0,0.0,55.23229780581857,0,16190,14325,2098
17,676.3898897916079,61.796801164746284,103.97785529494286,292.5438713282347,1135.0595522671938,-1.0962300300598145,0.0,0.0,57.75777466710433,0,16190,14338,2105
18,676.2497592717409,61.95113621652126,104.2476799339056,292.3949770629406,1135.1890247315168,-1.200272560119629,-0.04545454680919647,0.06428243964910507,58.569177968255914,0,16190,14395,2084
19,676.4865275472403,61.80415861308575,103.88588905334473,288.2525119930506,1130.7730246335268,-1.1421712636947632,0.0,0.0,58.53041241291969,0,16190,14485,2077
20,677.5156483054161,61.80070526897907,104.08467054367065,292.2905292361975,1136.0324174165726,-0.5239288806915283,0.13333334028720856,0.0471404567360878,54.06604300744652,0,16190,14149,2098
21,677.458144724369,61.778465285897255,103.83488051593304,292.1952623873949,1135.6105916202068,-1.1062827110290527,0.0,0.0,54.659961776084366,0,16190,14192,2098
22,675.607169046998,61.55385635793209,104.57244701683521,292.56927967071533,1134.6514876931906,-0.34950241446495056,0.0,0.0,54.50291153118965,0,16190,14218,2107
23,675.5855996161699,61.820127069950104,103.80876809358597,288.14448043704033,1129.7196801751852,-0.3539794385433197,0.11249999701976776,0.0176776684820652,57.44272662657316,0,16190,14372,2108
24,677.4861440062523,62.112703919410706,104.53110374510288,292.16752015054226,1136.656193062663,-1.05052649974823,0.0,0.0,58.41971477895984,0,16190,14394,2086
25,676.3036474585533,61.675358563661575,104.03596796095371,292.2814730554819,1134.6553284674883,-0.5412399768829346,0.0,0.0,58.626837088303176,0,16190,14484,2078
26,677.9070720076561,61.91596761345863,104.40182313323021,288.1269436329603,1132.7140480279922,-0.2574746310710907,0.0,0.0,54.32427006864639,0,16190,14119,2098
27,677.3270722478628,61.49615906178951,103.64905744791031,292.1988144516945,1135.024094954133,-1.0987192392349243,0.0,0.0,53.55037929600608,0,16190,14173,2107
28,676.8692154437304,61.492640525102615,103.7848312407732,292.24473610520363,1134.7464956343174,-1.228926420211792,0.04545454680919647,0.06428243964910507,57.90711109103528,0,16190,14213,2108
