frame_idx,timestamp_s,latency_ms
0,10444586.583016,281.747
1,10444586.590651,7.512
2,10444586.623023,6.464
3,10444586.656466,6.490
4,10444586.689864,6.470
5,10444586.723490,6.682
6,10444586.756969,6.745
7,10444586.790277,6.639
8,10444586.823670,6.619
9,10444586.856918,6.450
10,10444586.890257,6.374
11,10444586.923747,6.395
12,10444586.957234,6.468
13,10444586.990500,6.319
14,10444587.024099,6.505
15,10444587.057392,6.385
16,10444587.090741,6.321
17,10444587.124058,6.225
18,10444587.157590,6.346
19,10444587.191042,6.386
20,10444587.224587,6.515
21,10444587.258045,6.495
22,10444587.291474,6.503
23,10444587.324851,6.459
24,10444587.358170,6.363
25,10444587.391584,6.363
26,10444587.425043,6.408
27,10444587.458423,6.408
28,10444587.491865,6.436
29,10444587.525196,6.351
30,10444587.558574,6.316
31,10444587.592470,6.743
32,10444587.625670,6.522
33,10444587.659066,6.502
34,10444587.692601,6.619
35,10444587.726033,6.633
36,10444587.759347,6.530
37,10444587.793530,7.293
38,10444587.826102,6.449
39,10444587.859657,6.597
40,10444587.893069,6.589
41,10444587.926717,6.731
42,10444587.960035,6.627
43,10444587.993570,6.743
44,10444588.026753,6.511
45,10444588.060753,7.102
46,10444588.093912,6.850
47,10444588.126798,6.329
48,10444588.161549,7.673
49,10444588.193583,6.299
50,10444588.227522,6.829
51,10444588.260470,6.319
52,10444588.294356,6.798
53,10444588.327796,6.830
54,10444588.360755,6.382
55,10444588.394949,7.162
56,10444588.427705,6.511
57,10444588.461463,6.864
58,10444588.494577,6.561
59,10444588.528220,6.797
60,10444588.562011,7.180
61,10444588.595133,6.842
62,10444588.628091,6.392
63,10444588.661565,6.449
64,10444588.695333,6.808
65,10444588.728235,6.303
66,10444588.762177,6.834
67,10444588.795018,6.270
68,10444588.828468,6.312
69,10444588.862734,7.169
70,10444588.895439,6.467
71,10444588.929330,6.904
72,10444588.962096,6.265
73,10444588.996075,6.834
74,10444589.028956,6.306
75,10444589.062825,6.810
76,10444589.096596,7.174
77,10444589.129175,6.347
78,10444589.162643,6.406
79,10444589.195998,6.352
80,10444589.229928,6.859
81,10444589.262793,6.265
82,10444589.296237,6.300
83,10444589.329578,6.228
84,10444589.362938,6.177
85,10444589.396410,6.239
86,10444589.429800,6.217
87,10444589.463190,6.196
88,10444589.496634,6.229
89,10444589.530044,6.229
90,10444589.563421,6.194
91,10444589.596899,6.222
92,10444589.630292,6.205
93,10444589.663656,6.157
94,10444589.697158,6.248
95,10444589.730501,6.181
96,10444589.763895,6.165
97,10444589.797341,6.203
98,10444589.830735,6.185
99,10444589.864146,6.186
100,10444589.897596,6.225
101,10444589.931048,6.230
102,10444589.964448,6.218
103,10444589.997906,6.265
104,10444590.031261,6.206
105,10444590.064713,6.247
106,10444590.098088,6.213
107,10444590.131450,6.165
108,10444590.164978,6.283
109,10444590.198263,6.160
110,10444590.231658,6.146
111,10444590.265138,6.169
112,10444590.298595,6.219
113,10444590.331951,6.165
114,10444590.365389,6.195
115,10444590.398787,6.184
116,10444590.432217,6.205
117,10444590.465619,6.199
118,10444590.499046,6.218
119,10444590.532433,6.195
120,10444590.565882,6.234
121,10444590.599261,6.163
122,10444590.633497,6.991
123,10444590.666521,6.603
124,10444590.700164,6.833
125,10444590.733046,6.304
126,10444590.766478,6.327
127,10444590.799847,6.287
128,10444590.833261,6.293
129,10444590.867171,6.793
130,10444590.900054,6.269
131,10444590.934118,6.879
132,10444590.967786,7.140
133,10444591.000952,6.898
134,10444591.034628,7.167
135,10444591.067693,6.825
136,10444591.100577,6.302
137,10444591.134052,6.369
138,10444591.167379,6.289
139,10444591.200918,6.419
140,10444591.234757,6.850
141,10444591.268641,7.270
142,10444591.301094,6.315
143,10444591.334384,6.195
144,10444591.367808,6.207
145,10444591.401235,6.223
146,10444591.434621,6.198
147,10444591.468038,6.203
148,10444591.501458,6.212
149,10444591.534834,6.178
150,10444591.568311,6.243
151,10444591.601770,6.258
152,10444591.635097,6.177
153,10444591.668541,6.209
154,10444591.701997,6.255
155,10444591.735343,6.189
156,10444591.768784,6.219
157,10444591.802142,6.165
158,10444591.835577,6.185
159,10444591.869044,6.242
160,10444591.902395,6.183
161,10444591.935915,6.227
162,10444591.969285,6.185
163,10444592.002700,6.190
164,10444592.036142,6.218
165,10444592.069570,6.236
166,10444592.102920,6.174
167,10444592.136362,6.207
168,10444592.169773,6.209
169,10444592.203126,6.153
170,10444592.236589,6.206
171,10444592.270053,6.230
172,10444592.303398,6.165
173,10444592.336851,6.208
174,10444592.370207,6.192
175,10444592.403572,6.145
176,10444592.437041,6.205
177,10444592.470430,6.184
178,10444592.503815,6.158
179,10444592.537242,6.175
180,10444592.570691,6.214
181,10444592.604146,6.221
182,10444592.637774,6.439
183,10444592.671315,6.567
184,10444592.705336,7.178
185,10444592.738141,6.573
186,10444592.771788,6.813
187,10444592.804918,6.537
188,10444592.838582,6.793
189,10444592.871642,6.444
190,10444592.905463,6.857
191,10444592.939364,7.266
192,10444592.972351,6.847
193,10444593.006067,7.155
194,10444593.039149,6.829
195,10444593.072035,6.309
196,10444593.105450,6.315
197,10444593.138828,6.286
198,10444593.172486,6.533
199,10444593.206154,6.792
200,10444593.239074,6.305
201,10444593.272498,6.267
202,10444593.305876,6.233
203,10444593.339339,6.285
204,10444593.372672,6.207
205,10444593.406078,6.201
206,10444593.439467,6.179
207,10444593.472935,6.234
208,10444593.506343,6.231
209,10444593.539735,6.210
210,10444593.573152,6.216
211,10444593.606595,6.209
212,10444593.639984,6.186
213,10444593.673466,6.240
214,10444593.706843,6.203
215,10444593.740246,6.196
216,10444593.773688,6.221
217,10444593.807026,6.149
218,10444593.840515,6.225
219,10444593.873906,6.204
220,10444593.907262,6.148
221,10444593.940793,6.239
222,10444593.974204,6.238
223,10444594.007579,6.202
224,10444594.041013,6.226
225,10444594.074323,6.127
226,10444594.107763,6.155
227,10444594.141247,6.227
228,10444594.174620,6.189
229,10444594.207970,6.129
230,10444594.241483,6.230
231,10444594.274892,6.198
232,10444594.308321,6.216
233,10444594.341725,6.211
234,10444594.375324,6.400
235,10444594.408554,6.217
236,10444594.442000,6.252
237,10444594.475322,6.164
238,10444594.508799,6.231
239,10444594.542153,6.175
240,10444594.575548,6.160
241,10444594.609243,6.408
242,10444594.643078,6.836
243,10444594.675914,6.261
244,10444594.709900,6.837
245,10444594.743622,7.152
246,10444594.776408,6.529
247,10444594.810496,7.209
248,10444594.843485,6.790
249,10444594.877328,7.225
250,10444594.910056,6.541
251,10444594.943650,6.671
252,10444594.977168,6.782
253,10444595.010282,6.488
254,10444595.044078,6.877
255,10444595.076916,6.306
256,10444595.111701,7.687
257,10444595.144320,6.895
258,10444595.177372,6.530
259,10444595.211142,6.883
260,10444595.244262,6.594
261,10444595.277950,6.813
262,10444595.310915,6.369
263,10444595.344316,6.360
264,10444595.377718,6.353
265,10444595.411156,6.380
266,10444595.444600,6.413
267,10444595.478020,6.422
268,10444595.511349,6.337
269,10444595.544774,6.348
270,10444595.578137,6.300
271,10444595.611511,6.212
272,10444595.644947,6.238
273,10444595.678424,6.306
274,10444595.711885,6.354
275,10444595.745393,6.447
276,10444595.778790,6.431
277,10444595.812204,6.431
278,10444595.845647,6.462
279,10444595.879010,6.412
280,10444595.912434,6.422
281,10444595.945973,6.488
282,10444595.979333,6.431
283,10444596.012785,6.466
284,10444596.046205,6.470
285,10444596.079588,6.433
286,10444596.113023,6.452
287,10444596.146462,6.475
288,10444596.179873,6.471
289,10444596.213242,6.425
290,10444596.246690,6.456
291,10444596.280307,6.608
292,10444596.313600,6.486
293,10444596.346966,6.435
294,10444596.380342,6.392
295,10444596.413786,6.421
296,10444596.447225,6.444
297,10444596.480597,6.400
