prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10444588.603844,2399.656,12
1,10444589.266372,662.419,12
2,10444591.269078,663.704,12
3,10444593.270455,663.658,12
4,10444595.280623,672.414,12
5,10444597.286184,676.549,12
6,10444599.302904,691.856,12
7,10444601.311150,698.679,12
8,10444603.308289,694.401,12
9,10444605.320842,705.524,12
10,10444606.678821,62.114,1
11,10444609.321346,702.585,12
12,10444611.311922,691.768,12
13,10444613.336105,714.555,12
14,10444615.335821,712.896,12
15,10444617.318019,693.713,12
16,10444619.330967,705.248,12
17,10444621.337427,710.330,12
18,10444623.337823,709.356,12
19,10444625.335075,705.227,12
20,10444627.320703,689.472,12
21,10444629.349518,716.870,12
22,10444631.109824,475.806,8
23,10444633.339647,703.992,12
24,10444635.330561,693.497,12
25,10444637.355019,716.541,12
26,10444639.344231,704.385,12
27,10444641.330352,689.102,12
28,10444643.349389,706.706,12
29,10444645.344219,700.136,12
30,10444647.353597,708.095,12
31,10444649.360377,713.487,12
32,10444650.708291,60.014,1
33,10444652.718592,68.264,1
34,10444655.362898,710.524,12
35,10444657.352873,699.093,12
36,10444658.728376,73.177,1
37,10444661.374362,718.325,12
38,10444663.364983,707.545,12
39,10444665.369912,711.063,12
40,10444667.380402,720.144,12
41,10444669.371754,710.102,12
42,10444671.372278,709.222,12
43,10444673.372502,708.483,12
44,10444675.381479,716.063,12
45,10444677.380303,713.496,12
46,10444679.389324,721.121,12
47,10444681.382161,712.575,12
48,10444683.366816,695.820,12
49,10444685.158698,486.674,8
50,10444687.392219,718.591,12
51,10444689.087482,412.444,7
52,10444691.377236,701.221,12
53,10444693.388394,710.967,12
54,10444695.392670,713.845,12
55,10444697.373157,693.140,12
56,10444699.381305,699.862,12
57,10444701.388896,706.038,12
58,10444703.391860,707.838,12
59,10444705.395130,709.705,12
60,10444707.391365,704.531,12
61,10444709.380995,692.755,12
62,10444711.409548,719.899,12
63,10444713.400142,709.111,12
64,10444715.268905,576.477,10
65,10444717.394169,700.227,12
66,10444719.392907,697.561,12
67,10444721.407083,710.318,12
68,10444722.759173,61.002,1
69,10444724.773916,73.690,1
70,10444727.426608,724.337,12
71,10444729.402789,699.149,12
72,10444731.408974,703.913,12
73,10444733.419944,713.477,12
74,10444735.416959,709.060,12
75,10444737.419681,710.383,12
76,10444739.414488,703.796,12
77,10444741.416530,704.422,12
78,10444743.417059,703.539,12
79,10444745.426670,711.736,12
80,10444747.426898,710.568,12
81,10444749.348796,631.060,11
82,10444751.428697,709.478,12
83,10444753.432692,712.082,12
84,10444755.424362,702.361,12
85,10444757.420656,697.244,12
86,10444758.794661,69.845,1
87,10444761.442541,715.696,12
88,10444763.432670,704.426,12
89,10444765.419459,689.806,12
90,10444766.803348,72.275,1
91,10444769.445312,712.185,12
92,10444771.446385,711.874,12
93,10444772.797509,61.607,1
94,10444775.440241,702.287,12
95,10444777.443365,703.995,12
96,10444779.450105,709.315,12
97,10444781.450196,708.002,12
98,10444783.453529,709.935,12
99,10444785.451262,706.265,12
100,10444787.446565,700.146,12
101,10444788.819900,72.067,1
102,10444790.825952,76.074,1
103,10444793.467863,715.938,12
104,10444794.814255,60.933,1
105,10444797.459876,704.489,12
106,10444799.470891,714.101,12
107,10444801.119099,360.922,6
108,10444803.467562,707.646,12
109,10444805.458406,697.098,12
110,10444807.474923,712.197,12
111,10444809.475590,711.561,12
112,10444811.456316,690.898,12
113,10444813.465299,698.474,12
114,10444815.481229,713.017,12
115,10444817.480525,710.931,12
116,10444819.467083,696.102,12
117,10444821.481839,709.455,12
118,10444823.491858,718.082,12
119,10444825.139253,364.105,6
120,10444827.478295,702.266,12
121,10444828.836614,59.174,1
