step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,ram_total_mb,vdd_gpu_mw,vdd_cpu_mw,override_fired,override_reason
0,1164.6819189190865,91.42412804067135,584.5615677535534,1820.37103921175,3674.7544314712286,1.9700767993927002,0.4166666865348816,0.2357022911310196,45.44329595693799,0,17556,30697,11142,2766,1,latency 3674.75 > 2000.0
1,660.3825930505991,63.977696001529694,96.76755219697952,444.79228742420673,1266.1463357508183,2.1559197902679443,0.4583333730697632,0.176776722073555,63.375029346797916,0,19703,30697,13703,2647,0,
2,684.1460149735212,60.41116826236248,97.02195227146149,311.9971193373203,1153.802303597331,1.8844276666641235,0.4583333730697632,0.176776722073555,74.80425035981993,0,20284,30697,15754,2821,0,
3,668.327808380127,63.091712072491646,98.91916811466217,488.18268813192844,1318.7597449868917,2.052294969558716,0.4583333730697632,0.176776722073555,82.74224411725828,0,20481,30697,16866,2900,0,
4,662.2791346162558,60.28604879975319,97.07340784370899,324.97724890708923,1144.8489278554916,2.0264604091644287,0.4166666865348816,0.2357022911310196,72.43138334527114,0,20528,30697,16304,2690,0,
5,698.5787525773048,61.64620630443096,97.90723212063313,311.3663364201784,1169.7434559464455,2.1368532180786133,0.4166666865348816,0.2357022911310196,83.45278812187289,0,20543,30697,17275,2906,0,
6,662.8548167645931,60.567935928702354,98.07747043669224,489.4554242491722,1311.1881595104933,-0.14796900749206543,0.4166666865348816,0.2357022911310196,77.9080033099049,0,20545,30697,16813,2767,0,
7,403.8959685713053,61.171967536211014,98.50243106484413,325.15814527869225,888.9664970338345,0.0,0.2857142984867096,0.0,81.81482145148556,0,20545,30697,17189,2855,0,
8,667.5240639597178,62.773024663329124,99.76051189005375,544.6378234773874,1374.9323841184378,0.0680854320526123,0.2916666865348816,0.0589255727827549,78.98505072580686,0,20545,30697,16733,2831,0,
9,667.1396158635616,61.856577172875404,99.37078319489956,325.4252802580595,1154.0239676833153,-0.37375983595848083,0.2083333432674408,0.058925561606884,72.11040842393436,0,20545,30697,16056,2701,0,
10,685.3699199855328,63.28092701733112,100.85609741508961,314.84214402735233,1164.5915526896715,1.6349866390228271,0.3333333432674408,0.35355344414711,84.01560440708822,0,20545,30697,17243,2907,0,
11,662.7287045121193,60.790495947003365,97.93737716972828,407.73862414062023,1229.4258568435907,1.9736156463623047,0.5,0.1178511455655098,75.25321039871899,0,20545,30697,16694,2678,0,
12,685.445312410593,60.86415983736515,98.39024022221565,327.31590420007706,1172.2461767494678,0.0,0.4166666865348816,0.0,79.38969599217822,0,20546,30697,16829,2838,0,
13,665.7739207148552,62.90367990732193,102.77007892727852,517.8359039127827,1349.5301436632872,1.8662867546081543,0.4583333730697632,0.176776722073555,82.84133272062535,0,20546,30697,16858,2892,0,
14,388.3197121322155,60.08089520037174,97.82272018492222,309.08297561109066,855.5328324437141,0.0,0.2857142984867096,0.0,76.95529409892934,0,20546,30697,16663,2746,0,
15,664.9356167763472,60.661790892481804,97.66393713653088,324.4552630931139,1147.9423679411411,0.19863179326057434,0.2916666865348816,0.0589255727827549,69.75215849290629,0,20546,30697,16076,2576,0,
16,663.1756164133549,60.36374531686306,97.06303849816322,309.0109769254923,1129.8405770212412,1.6118590831756592,0.5416666865348816,0.05892559140920639,68.7313940031131,0,20546,30697,15817,2510,0,
17,689.6656956523657,62.46297433972359,98.32326509058475,309.16195176541805,1159.8536632955074,2.083160638809204,0.5,0.1178511455655098,86.37385988484361,0,20546,30697,17336,2845,0,
18,658.1596489995718,60.849759727716446,98.18019345402718,437.876608222723,1255.2961613982916,1.9900497198104858,0.5,0.1178511455655098,76.78449169288724,0,20546,30697,16745,2679,0,
19,680.2933756262064,60.58310531079769,97.36918285489082,309.5510732382536,1148.0250246822834,1.9820785522460938,0.4166666865348816,0.2357022911310196,77.73965288788264,0,20546,30697,16919,2773,0,
20,662.2789446264505,61.816319823265076,102.3353599011898,499.8580478131771,1326.526528224349,1.9485716819763184,0.5,0.1178511455655098,81.94508712601653,0,20546,30697,16927,2899,0,
21,659.4684161245823,60.35644747316837,97.15024009346962,329.50268872082233,1146.7104963958263,2.0340185165405273,0.3333333432674408,0.35355344414711,73.67176037282225,0,20546,30697,16137,2701,0,
22,681.1815667897463,62.33948841691017,100.83558410406113,311.9806405156851,1156.5952636301517,-0.003619939088821411,0.375,0.0589255727827549,88.70059335646503,0,20546,30697,17386,2900,0,
23,659.3157444149256,60.257984325289726,97.05020859837532,468.59894320368767,1285.460127517581,0.8516889214515686,0.3333333432674408,0.35355344414711,76.1213636060741,0,20546,30697,16553,2719,0,
24,675.7625918835402,60.731200501322746,97.69126400351524,310.928862541914,1145.3517116606236,2.1323022842407227,0.5,0.1178511455655098,73.48915951168576,0,20546,30697,16521,2814,0,
25,668.9158715307713,61.8560966104269,107.4132788926363,466.60761535167694,1305.034078657627,0.06789728999137878,0.2916666865348816,0.0589255727827549,82.63545872962293,0,20546,30697,17074,2898,0,
26,658.3209913223982,60.55184081196785,97.32396714389324,309.49324928224087,1125.924063846469,0.10513368248939514,0.2083333432674408,0.058925561606884,68.51327642979287,0,20546,30697,16099,2727,0,
27,691.9890567660332,63.43817710876465,98.29001501202583,327.412735670805,1181.3746560364962,2.0079236030578613,0.5416666865348816,0.05892559140920639,85.91426998542207,0,20546,30697,17510,2892,0,
28,675.3354240208864,61.45542301237583,97.55132719874382,514.8179531097412,1349.3876811116934,0.0,0.5833333730697632,0.0,77.89464323105594,0,20546,30697,16520,2763,0,
29,683.9968953281641,61.387455090880394,97.39782474935055,313.2486715912819,1156.2756150960922,1.1891016960144043,0.5416666865348816,0.05892559140920639,73.60851328582557,0,20546,30697,16422,2756,0,
30,396.8887999653816,65.17289578914642,105.8262400329113,534.3397445976734,1102.4957112967968,0.0,0.2857142984867096,0.0,81.52555988758179,0,20546,30697,16954,2858,0,
31,666.4458252489567,61.53375841677189,98.15084934234619,325.66166296601295,1152.018016204238,1.9772989749908447,0.5,0.1178511455655098,71.44139626720305,0,20546,30697,16056,2688,0,
32,693.8403211534023,62.21331283450127,101.53152048587799,309.07430313527584,1166.9056322425604,0.0,0.5833333730697632,0.0,84.48338341099293,0,20546,30697,17068,2895,0,
33,667.2832947224379,60.77727861702442,97.82876819372177,446.45052775740623,1272.572286427021,0.0,0.5833333730697632,0.0,75.31741204904034,0,20546,30697,16216,2696,0,
34,680.4055999964476,61.24784052371979,98.07072021067142,326.6235515475273,1166.5788162499666,2.0662264823913574,0.5,0.1178511455655098,73.8139392943455,0,20547,30697,16522,2835,0,
35,672.8144958615303,62.74735927581787,101.57603211700916,479.03439961373806,1316.4158072322607,0.0,0.4166666865348816,0.0,80.53662339963871,0,20547,30697,16846,2927,0,
36,668.1508496403694,62.55331262946129,97.99305535852909,311.55724823474884,1140.4871363192797,2.0437984466552734,0.4583333730697632,0.176776722073555,71.14670681562649,0,20547,30697,16192,2709,0,
37,400.61631985008717,61.1854400485754,96.99062444269657,310.5083517730236,869.5327676832676,0.0,0.2857142984867096,0.0,76.15946206361073,0,20547,30697,16879,2727,0,
38,666.1443840712309,61.17199920117855,97.57264144718647,310.4739189147949,1135.5880964547396,-0.459571897983551,0.4583333432674408,0.05892555043101311,70.99152011828545,0,20547,30697,16065,2571,0,
39,693.5500800609589,61.24844774603844,97.69747219979763,312.45823949575424,1165.1959046721458,0.6992753744125366,0.2083333432674408,0.1767766922712326,83.84410066452442,0,20547,30697,17127,2846,0,
40,665.1135366410017,61.96000054478645,96.79488092660904,496.9535358250141,1321.0615683346987,1.8344926834106445,0.3333333432674408,0.35355344414711,77.70287766458414,0,20547,30697,16626,2731,0,
41,678.6560956388712,61.28169596195221,97.05615974962711,312.51606345176697,1149.7511994093657,1.8949369192123413,0.4166666865348816,0.2357022911310196,74.92420607910152,0,20547,30697,16647,2758,0,
42,676.0273911058903,62.60790303349495,98.73836860060692,431.33872002363205,1268.9512316137552,1.5258573293685913,0.4583333730697632,0.176776722073555,82.95810655451659,0,20547,30697,17246,2921,0,
43,657.424671575427,60.47705560922623,97.22038358449936,308.96556936204433,1124.3111044168472,2.0149693489074707,0.4166666865348816,0.2357022911310196,70.52616614327845,0,20547,30697,16227,2735,0,
44,685.017567127943,61.882080510258675,98.16147200763226,308.66559967398643,1153.9640948176384,1.9868391752243042,0.4166666865348816,0.2357022911310196,79.55156610465461,0,20548,30697,17358,2939,0,
45,392.9157108068466,61.87356822192669,100.01660883426666,333.29696021974087,888.3359041064978,0.0,0.2857142984867096,0.0,74.17635796998114,0,20552,30697,17061,2918,0,
46,404.4658225029707,64.17667306959629,99.4838085025549,356.0018241405487,924.3635199964046,0.0,0.2857142984867096,0.0,88.61865344396915,0,20552,30697,17977,3046,0,
47,384.99926403164864,60.63967943191528,98.15062396228313,309.08540822565556,853.102495893836,0.0,0.2857142984867096,0.0,80.09807879198232,0,20552,30697,17316,2771,0,
