frame_idx,timestamp_s,latency_ms
0,10443556.413251,281.379
1,10443556.421022,7.651
2,10443556.453517,6.726
3,10443556.486798,6.587
4,10443556.520049,6.422
5,10443556.553351,6.310
6,10443556.586696,6.243
7,10443556.620218,6.347
8,10443556.653583,6.291
9,10443556.686948,6.238
10,10443556.720411,6.277
11,10443556.753856,6.249
12,10443556.787280,6.260
13,10443556.820757,6.322
14,10443556.854082,6.230
15,10443556.887374,6.107
16,10443556.920775,6.094
17,10443556.954274,6.182
18,10443556.987829,6.322
19,10443557.021262,6.334
20,10443557.054649,6.300
21,10443557.088185,6.354
22,10443557.121682,6.430
23,10443557.154917,6.247
24,10443557.188376,6.289
25,10443557.221810,6.307
26,10443557.255209,6.290
27,10443557.289353,7.017
28,10443557.322215,6.461
29,10443557.356333,7.162
30,10443557.390207,7.606
31,10443557.422496,6.414
32,10443557.455910,6.402
33,10443557.489336,6.402
34,10443557.522732,6.372
35,10443557.556183,6.399
36,10443557.589523,6.316
37,10443557.622905,6.285
38,10443557.656523,6.482
39,10443557.689911,6.449
40,10443557.723295,6.408
41,10443557.756764,6.401
42,10443557.790961,7.175
43,10443557.823751,6.556
44,10443557.857492,6.885
45,10443557.890815,6.801
46,10443557.923664,6.241
47,10443557.957734,6.905
48,10443557.990387,6.150
49,10443558.024457,6.810
50,10443558.057833,6.780
51,10443558.090718,6.201
52,10443558.124828,6.902
53,10443558.157777,6.443
54,10443558.190930,6.189
55,10443558.224962,6.807
56,10443558.257839,6.277
57,10443558.291881,6.914
58,10443558.324559,6.183
59,10443558.358079,6.291
60,10443558.392176,6.980
61,10443558.425016,6.361
62,10443558.458763,6.699
63,10443558.492169,6.696
64,10443558.525779,6.896
65,10443558.558560,6.268
66,10443558.592501,6.798
67,10443558.625414,6.306
68,10443558.658671,6.155
69,10443558.692240,6.312
70,10443558.726235,6.899
71,10443558.759205,6.418
72,10443558.792407,6.213
73,10443558.826208,6.603
74,10443558.859916,6.903
75,10443558.893547,7.127
76,10443558.926709,6.882
77,10443558.959590,6.355
78,10443558.993034,6.392
79,10443559.026458,6.443
80,10443559.059602,6.180
81,10443559.093005,6.130
82,10443559.126358,6.067
83,10443559.159798,6.092
84,10443559.193262,6.141
85,10443559.226604,6.071
86,10443559.260105,6.162
87,10443559.293426,6.066
88,10443559.326866,6.093
89,10443559.360239,6.054
90,10443559.393697,6.099
91,10443559.427171,6.110
92,10443559.460556,6.082
93,10443559.493951,6.063
94,10443559.527361,6.061
95,10443559.560783,6.069
96,10443559.594183,6.057
97,10443559.627608,6.069
98,10443559.661013,6.062
99,10443559.694430,6.067
100,10443559.727833,6.056
101,10443559.761431,6.180
102,10443559.794712,6.048
103,10443559.828198,6.118
104,10443559.861637,6.145
105,10443559.894931,6.023
106,10443559.928394,6.074
107,10443559.961809,6.079
108,10443559.995180,6.038
109,10443560.028599,6.046
110,10443560.062043,6.078
111,10443560.095479,6.065
112,10443560.128935,6.110
113,10443560.162312,6.076
114,10443560.195709,6.061
115,10443560.229156,6.097
116,10443560.262546,6.079
117,10443560.295958,6.081
118,10443560.329340,6.052
119,10443560.362744,6.046
120,10443560.396329,6.221
121,10443560.430092,6.542
122,10443560.463194,6.235
123,10443560.496943,6.577
124,10443560.530280,6.508
125,10443560.564055,6.877
126,10443560.597017,6.430
127,10443560.630249,6.250
128,10443560.663979,6.574
129,10443560.697271,6.460
130,10443560.731101,6.882
131,10443560.764167,6.502
132,10443560.797378,6.305
133,10443560.830743,6.262
134,10443560.864103,6.212
135,10443560.898213,6.915
136,10443560.931050,6.343
137,10443560.964887,6.773
138,10443560.997980,6.459
139,10443561.031170,6.240
140,10443561.064494,6.155
141,10443561.097909,6.112
142,10443561.131310,6.100
143,10443561.164707,6.082
144,10443561.198112,6.076
145,10443561.231521,6.072
146,10443561.264964,6.101
147,10443561.298362,6.086
148,10443561.331723,6.032
149,10443561.365196,6.091
150,10443561.398579,6.061
151,10443561.432078,6.104
152,10443561.465512,6.124
153,10443561.498839,6.037
154,10443561.532271,6.055
155,10443561.565655,6.026
156,10443561.599095,6.052
157,10443561.632504,6.048
158,10443561.665936,6.065
159,10443561.699305,6.022
160,10443561.732766,6.070
161,10443561.766278,6.101
162,10443561.799633,6.045
163,10443561.833039,6.039
164,10443561.866505,6.095
165,10443561.899894,6.072
166,10443561.933332,6.092
167,10443561.966703,6.049
168,10443562.000116,6.050
169,10443562.033528,6.049
170,10443562.066906,6.017
171,10443562.100428,6.092
172,10443562.133844,6.095
173,10443562.167368,6.206
174,10443562.200608,6.030
175,10443562.233985,5.996
176,10443562.267460,6.061
177,10443562.300856,6.043
178,10443562.334277,6.054
179,10443562.367662,6.027
180,10443562.401992,6.946
181,10443562.435500,7.005
182,10443562.468806,6.902
183,10443562.501610,6.300
184,10443562.535023,6.303
185,10443562.568919,6.790
186,10443562.601808,6.271
187,10443562.635859,6.915
188,10443562.668647,6.295
189,10443562.701965,6.206
190,10443562.736068,6.900
191,10443562.769215,6.599
192,10443562.802336,6.323
193,10443562.836178,6.757
194,10443562.869640,6.812
195,10443562.903344,7.108
196,10443562.936552,6.908
197,10443562.969764,6.712
198,10443563.002711,6.251
199,10443563.036781,6.913
200,10443563.069445,6.169
201,10443563.102868,6.145
202,10443563.136228,6.089
203,10443563.169648,6.095
204,10443563.202988,6.021
205,10443563.236455,6.076
206,10443563.269848,6.053
207,10443563.303247,6.040
208,10443563.336707,6.082
209,10443563.370083,6.044
210,10443563.403532,6.078
211,10443563.437043,6.135
212,10443563.470380,6.060
213,10443563.503781,6.049
214,10443563.537269,6.124
215,10443563.570592,6.035
216,10443563.604050,6.080
217,10443563.637499,6.117
218,10443563.670848,6.055
219,10443563.704254,6.048
220,10443563.737696,6.077
221,10443563.771161,6.097
222,10443563.804546,6.070
223,10443563.837969,6.082
224,10443563.871386,6.086
225,10443563.904753,6.040
226,10443563.938177,6.049
227,10443563.971622,6.078
228,10443564.005007,6.046
229,10443564.038434,6.058
230,10443564.071860,6.070
231,10443564.105338,6.098
232,10443564.138773,6.119
233,10443564.172135,6.069
234,10443564.205630,6.152
235,10443564.238940,6.049
236,10443564.272380,6.078
237,10443564.305792,6.077
238,10443564.339182,6.054
239,10443564.372642,6.103
240,10443564.406528,6.575
241,10443564.441289,7.887
242,10443564.473207,6.397
243,10443564.506393,6.176
244,10443564.539936,6.308
245,10443564.573680,6.643
246,10443564.606743,6.297
247,10443564.640723,6.869
248,10443564.673831,6.567
249,10443564.707783,7.112
250,10443564.740905,6.823
251,10443564.774760,7.184
252,10443564.808074,7.086
253,10443564.841073,6.674
254,10443564.874692,6.886
255,10443564.908677,7.464
256,10443564.942197,7.563
257,10443564.975542,7.524
258,10443565.008574,7.138
259,10443565.041668,6.818
260,10443565.074615,6.350
261,10443565.108750,7.033
262,10443565.142230,7.094
263,10443565.175633,7.077
264,10443565.209219,7.241
265,10443565.242491,7.094
266,10443565.275751,6.936
267,10443565.309048,6.810
268,10443565.342139,6.481
269,10443565.375526,6.451
270,10443565.408624,6.131
271,10443565.442034,6.073
272,10443565.476446,7.066
273,10443565.510025,7.223
274,10443565.543591,7.370
275,10443565.577052,7.406
276,10443565.611217,8.145
277,10443565.644554,8.051
278,10443565.676904,6.977
279,10443565.709693,6.345
280,10443565.743071,6.302
281,10443565.776551,6.310
282,10443565.809955,6.288
283,10443565.843365,6.280
284,10443565.876809,6.303
285,10443565.910209,6.284
286,10443565.943627,6.284
287,10443565.977007,6.246
288,10443566.010466,6.280
289,10443566.043881,6.267
290,10443566.077330,6.298
291,10443566.110748,6.242
292,10443566.144172,6.248
293,10443566.177625,6.282
294,10443566.211040,6.281
295,10443566.244423,6.245
296,10443566.277909,6.310
297,10443566.311414,6.396
298,10443566.344673,6.236
299,10443566.378089,6.236
300,10443566.412406,7.130
301,10443566.446084,7.328
302,10443566.480182,8.001
303,10443566.512713,7.111
304,10443566.546754,7.732
305,10443566.579830,7.390
306,10443566.613930,8.069
307,10443566.646767,7.479
308,10443566.680404,7.683
309,10443566.713065,6.922
310,10443566.747266,7.697
311,10443566.780511,7.446
312,10443566.814028,7.546
313,10443566.847364,7.465
314,10443566.880841,7.520
315,10443566.915060,8.322
316,10443566.947907,7.754
317,10443566.980976,7.407
318,10443567.015179,8.191
319,10443567.047960,7.555
320,10443567.080918,7.097
321,10443567.114061,6.787
322,10443567.147733,7.037
323,10443567.180917,6.802
324,10443567.214342,6.808
325,10443567.247189,6.234
326,10443567.280574,6.202
327,10443567.313899,6.113
328,10443567.347308,6.110
329,10443567.380826,6.214
330,10443567.414320,6.292
331,10443567.447904,6.404
332,10443567.481262,6.342
333,10443567.514622,6.283
334,10443567.548036,6.279
335,10443567.581428,6.257
336,10443567.614836,6.249
337,10443567.648300,6.300
338,10443567.681745,6.330
339,10443567.715116,6.283
340,10443567.748392,6.142
341,10443567.782116,6.400
342,10443567.816276,7.133
343,10443567.849140,6.579
344,10443567.882410,6.431
345,10443567.915788,6.387
346,10443567.949202,6.379
347,10443567.982616,6.377
348,10443568.016109,6.449
