prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10444902.005792,2389.204,12
1,10444902.064271,57.055,1
2,10444904.065586,57.569,1
3,10444906.067287,57.250,1
4,10444908.687843,675.819,12
5,10444910.699609,686.156,12
6,10444912.708729,693.840,12
7,10444914.710560,694.253,12
8,10444916.736362,718.633,12
9,10444918.722818,703.704,12
10,10444920.724600,704.064,12
11,10444922.330621,308.687,5
12,10444924.744717,720.976,12
13,10444926.749663,724.526,12
14,10444928.754650,728.130,12
15,10444930.093612,65.704,1
16,10444932.761559,731.611,12
17,10444934.755457,724.124,12
18,10444936.745164,712.443,12
19,10444938.648041,613.925,10
20,10444940.757865,722.236,12
21,10444942.764419,727.393,12
22,10444944.766059,727.642,12
23,10444946.751139,711.321,12
24,10444948.114636,73.407,1
25,10444950.762330,719.069,12
26,10444952.758541,714.513,12
27,10444954.766910,721.470,12
28,10444956.773303,726.472,12
29,10444958.768131,719.917,12
30,10444960.778652,729.007,12
31,10444962.113633,62.605,1
32,10444964.409299,356.217,6
33,10444966.775878,721.008,12
34,10444968.785356,729.090,12
35,10444970.778154,720.509,12
36,10444972.132284,73.222,1
37,10444974.774541,713.444,12
38,10444976.791140,728.639,12
39,10444978.768999,705.117,12
40,10444980.758809,693.523,12
41,10444982.138997,72.276,1
42,10444984.790770,722.000,12
43,10444986.797709,727.536,12
44,10444988.784733,713.161,12
45,10444990.810427,737.449,12
46,10444992.798901,724.540,12
47,10444994.783792,708.039,12
48,10444996.808608,732.544,12
49,10444998.796083,718.649,12
50,10445000.149722,70.890,1
51,10445002.804520,723.638,12
52,10445004.793654,711.380,12
53,10445006.807777,724.096,12
54,10445008.808761,723.688,12
55,10445010.791082,704.628,12
56,10445012.161645,73.784,1
57,10445014.814551,724.652,12
58,10445016.793834,702.553,12
59,10445018.817191,724.504,12
60,10445020.823090,729.017,12
61,10445022.799521,704.055,12
62,10445024.802415,705.563,12
63,10445026.811975,713.726,12
64,10445028.804913,705.266,12
65,10445030.789589,688.538,12
66,10445032.822550,720.085,12
67,10445034.817498,713.661,12
68,10445036.804348,699.126,12
69,10445038.818233,711.603,12
70,10445040.816532,708.510,12
71,10445042.819547,710.134,12
72,10445044.805919,695.112,12
73,10445046.827598,715.391,12
74,10445048.820656,707.071,12
75,10445050.808607,693.635,12
76,10445052.820172,703.808,12
77,10445054.808464,690.721,12
78,10445056.829034,709.876,12
79,10445058.827741,707.214,12
80,10445060.829293,707.391,12
81,10445062.821153,697.866,12
82,10445064.833791,709.085,12
83,10445066.845274,719.173,12
84,10445068.835966,708.500,12
85,10445070.837916,709.038,12
86,10445072.191091,60.809,1
87,10445074.193545,61.236,1
88,10445076.837722,703.369,12
89,10445078.834005,698.246,12
90,10445080.844834,708.811,12
91,10445082.848895,711.482,12
92,10445084.847934,709.111,12
93,10445086.847131,706.894,12
94,10445088.215530,73.895,1
95,10445090.854927,711.253,12
96,10445092.840227,695.160,12
97,10445094.853845,707.351,12
98,10445096.860155,712.271,12
99,10445098.211817,62.550,1
100,10445100.844232,692.933,12
101,10445102.226814,74.091,1
102,10445104.870373,715.608,12
103,10445106.865710,709.556,12
104,10445108.867994,710.447,12
105,10445110.867666,708.703,12
106,10445112.686240,525.874,9
107,10445114.863832,701.879,12
108,10445116.865735,702.362,12
109,10445118.870891,706.098,12
110,10445120.874819,708.642,12
111,10445122.230605,63.032,1
112,10445124.862483,692.873,12
113,10445126.889581,718.552,12
114,10445128.877957,705.545,12
115,10445130.879208,705.400,12
116,10445132.713146,537.927,9
117,10445134.893566,716.787,12
118,10445136.886890,708.727,12
119,10445138.883862,704.306,12
120,10445140.878377,697.411,12
121,10445142.876481,694.105,12
122,10445144.899276,715.471,12
