step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
25,preference_plane_get,8448,164,0
25,tegra_daemon_sample,29568,204,0
25,rl_arbiter_act,53856,284,0
25,override_layer_step,10240,217,0
25,resource_manager_decide,12320,52,0
25,dvfs_controller_set,1299840,948,0
26,preference_plane_get,8224,164,0
26,tegra_daemon_sample,30208,204,0
26,rl_arbiter_act,54624,284,0
26,override_layer_step,10496,217,0
26,resource_manager_decide,13056,52,0
26,dvfs_controller_set,1011680,717,0
27,preference_plane_get,8992,164,0
27,tegra_daemon_sample,30112,204,0
27,rl_arbiter_act,56128,284,0
27,override_layer_step,10592,217,0
27,resource_manager_decide,12704,52,0
27,dvfs_controller_set,1021024,717,0
28,preference_plane_get,8352,164,0
28,tegra_daemon_sample,30432,204,0
28,rl_arbiter_act,55104,284,0
28,override_layer_step,10496,217,0
28,resource_manager_decide,12928,52,0
28,dvfs_controller_set,1016704,717,0
29,preference_plane_get,8544,164,0
29,tegra_daemon_sample,30496,204,0
29,rl_arbiter_act,55040,284,0
29,override_layer_step,9632,217,0
29,resource_manager_decide,12608,52,0
29,dvfs_controller_set,1067712,653,0
30,preference_plane_get,8480,164,0
30,tegra_daemon_sample,30688,204,0
30,rl_arbiter_act,54560,284,0
30,override_layer_step,10048,217,0
30,resource_manager_decide,12576,52,0
30,dvfs_controller_set,1040224,717,0
31,preference_plane_get,8736,164,0
31,tegra_daemon_sample,30368,204,0
31,rl_arbiter_act,54752,284,0
31,override_layer_step,9952,217,0
31,resource_manager_decide,12448,52,0
31,dvfs_controller_set,1015296,717,0
32,preference_plane_get,9632,164,0
32,tegra_daemon_sample,30368,204,0
32,rl_arbiter_act,53312,284,0
32,override_layer_step,10816,217,0
32,resource_manager_decide,12608,52,0
32,dvfs_controller_set,1306432,868,0
33,preference_plane_get,9024,164,0
33,tegra_daemon_sample,31264,204,0
33,rl_arbiter_act,57344,284,0
33,override_layer_step,9952,284,0
33,resource_manager_decide,12416,52,0
33,dvfs_controller_set,1030112,717,0
34,preference_plane_get,8928,164,0
34,tegra_daemon_sample,30304,204,0
34,rl_arbiter_act,54688,284,0
34,override_layer_step,9920,217,0
34,resource_manager_decide,12448,52,0
