step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,ram_total_mb,vdd_gpu_mw,vdd_cpu_mw,override_fired,override_reason
0,1169.14352029562,110.58038286864758,589.6214731037617,1804.0611185133457,3687.066303566098,1.0860589742660522,0.4166666865348816,0.2357022911310196,42.326206899022864,0,18039,30697,10897,2648,1,latency 3687.07 > 2000.0
1,670.9102094173431,63.21612745523453,100.54566524922848,559.2898242175579,1394.1951375454664,1.0113813877105713,0.4583333730697632,0.176776722073555,70.43802468480274,0,20223,30697,14403,2658,0,
2,674.9085448682308,60.12009643018246,99.90211203694344,316.1228150129318,1151.2815039604902,1.0032540559768677,0.4583333730697632,0.176776722073555,68.2941500718501,0,20667,30697,15313,2570,0,
3,677.343487739563,61.579808592796326,101.11478343605995,344.99769657850266,1185.2755844593048,1.0002994537353516,0.4583333730697632,0.176776722073555,85.62427225038725,0,20807,30697,16935,2824,0,
4,661.184960976243,60.62652729451656,99.27232004702091,399.0905601531267,1220.4111367464066,0.9813041687011719,0.4166666865348816,0.2357022911310196,75.00122271359584,0,20852,30697,16513,2610,0,
5,682.587007060647,60.540927574038506,99.73478503525257,314.93254378437996,1158.0227836966515,0.9865435361862183,0.4166666865348816,0.2357022911310196,82.9789475865024,0,20865,30697,17012,2737,0,
6,672.0316484570503,63.99039924144745,104.13910448551178,542.4538869410753,1382.8683514147997,0.13074474036693573,0.4166666865348816,0.2357022911310196,83.09261344299925,0,20866,30697,16844,2774,0,
7,394.3030405789614,61.75472028553486,100.38742423057556,315.3249602764845,871.9972800463438,-0.0003237155906390399,0.2857142984867096,0.0,78.77169875041639,0,20866,30697,16614,2655,0,
8,681.3437435775995,63.619647175073624,101.93462483584881,419.6106232702732,1266.7477428913116,0.008475776761770248,0.2916666865348816,0.0589255727827549,85.91207583654909,0,20866,30697,17046,2852,0,
9,670.3320313245058,61.079710721969604,99.61251355707645,332.59958401322365,1163.864128291607,-0.15832416713237762,0.2083333432674408,0.058925561606884,74.02595515761678,0,20866,30697,16145,2648,0,
10,700.152862817049,62.07849644124508,100.03343969583511,317.3747528344393,1179.8699833452702,0.7638446092605591,0.3333333432674408,0.35355344414711,86.09180904485405,0,20866,30697,17303,2784,0,
11,670.8628796041012,61.5838710218668,100.6696317344904,553.4944646060467,1386.8317753076553,1.0948657989501953,0.5,0.1178511455655098,80.89798972155823,0,20866,30697,16631,2702,0,
12,675.4841916263103,62.18508817255497,99.78236816823483,318.62409599125385,1156.3049610704184,0.17230594158172607,0.4166666865348816,0.0,73.41720224187489,0,20866,30697,16127,2639,0,
13,687.8494396805763,63.695551827549934,99.7602567076683,347.2208958119154,1198.7895350903273,1.0430169105529785,0.4583333730697632,0.176776722073555,87.12794655945288,0,20866,30697,17054,2808,0,
14,394.0764795988798,61.818305402994156,100.05039907991886,317.3549771308899,873.5478725284338,-0.0012324933195486665,0.2857142984867096,0.0,77.90069591862914,0,20866,30697,17136,2601,0,
15,675.2403527498245,62.45187297463417,99.74118322134018,315.0027524679899,1152.666848152876,0.012483087368309498,0.2916666865348816,0.0589255727827549,71.98383594583085,0,20866,30697,16225,2400,0,
