step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
19,lag_feature_extract,84064,848,0
19,preference_plane_get,8544,156,0
19,tegra_daemon_sample,26944,140,0
19,rl_arbiter_act,10464,52,0
19,override_layer_step,7488,116,0
19,resource_manager_decide,11392,116,0
19,dvfs_controller_set,21312,452,0
20,replay_buffer_add,229664,458,0
20,lag_feature_extract,85344,848,0
20,preference_plane_get,8448,156,0
20,tegra_daemon_sample,27392,140,0
20,rl_arbiter_act,9536,52,0
20,override_layer_step,7392,116,0
20,resource_manager_decide,11424,116,0
20,dvfs_controller_set,20608,452,0
21,replay_buffer_add,232416,458,0
21,lag_feature_extract,84672,848,0
21,preference_plane_get,8256,156,0
21,tegra_daemon_sample,26560,140,0
21,rl_arbiter_act,10464,52,0
21,override_layer_step,7232,116,0
21,resource_manager_decide,11488,116,0
21,dvfs_controller_set,21024,452,0
22,replay_buffer_add,231456,458,0
22,lag_feature_extract,84960,789,0
22,preference_plane_get,8384,156,0
22,tegra_daemon_sample,26272,140,0
22,rl_arbiter_act,9952,52,0
22,override_layer_step,7136,116,0
22,resource_manager_decide,11168,116,0
22,dvfs_controller_set,21792,452,0
23,replay_buffer_add,235680,458,0
23,lag_feature_extract,89248,1002,0
23,preference_plane_get,8736,156,0
23,tegra_daemon_sample,28384,140,0
23,rl_arbiter_act,9824,52,0
23,override_layer_step,7520,116,0
23,resource_manager_decide,11200,116,0
23,dvfs_controller_set,22304,379,0
24,replay_buffer_add,241536,458,0
24,lag_feature_extract,82720,848,0
24,preference_plane_get,8032,156,0
24,tegra_daemon_sample,27232,140,0
24,rl_arbiter_act,9984,52,0
24,override_layer_step,7296,116,0
24,resource_manager_decide,11264,116,0
24,dvfs_controller_set,21984,379,0
25,replay_buffer_add,233536,458,0
25,lag_feature_extract,83136,848,0
25,preference_plane_get,8192,156,0
25,tegra_daemon_sample,26784,140,0
25,rl_arbiter_act,10720,52,0
25,override_layer_step,7520,116,0
25,resource_manager_decide,11072,116,0
25,dvfs_controller_set,21984,379,0
26,replay_buffer_add,229280,458,0
26,lag_feature_extract,81408,848,0
26,preference_plane_get,8352,156,0
26,tegra_daemon_sample,26784,140,0
26,rl_arbiter_act,10624,52,0
26,override_layer_step,7328,116,0
26,resource_manager_decide,11648,116,0
26,dvfs_controller_set,22496,379,0
27,replay_buffer_add,230016,399,0
27,lag_feature_extract,81568,848,0
27,preference_plane_get,8384,156,0
27,tegra_daemon_sample,26240,140,0
27,rl_arbiter_act,9792,52,0
27,override_layer_step,7072,116,0
27,resource_manager_decide,12512,627,0
27,dvfs_controller_set,22496,147,0
28,replay_buffer_add,240384,394,0
28,lag_feature_extract,85632,848,0
28,preference_plane_get,8352,156,0
28,tegra_daemon_sample,26208,140,0
28,rl_arbiter_act,10592,52,0
28,override_layer_step,7552,116,0
28,resource_manager_decide,10880,116,0
28,dvfs_controller_set,22080,379,0
29,replay_buffer_add,229568,458,0
29,lag_feature_extract,82400,848,0
29,preference_plane_get,8448,156,0
29,tegra_daemon_sample,27072,140,0
29,rl_arbiter_act,10176,52,0
29,override_layer_step,7392,116,0
29,resource_manager_decide,11392,116,0
29,dvfs_controller_set,21664,379,0
30,replay_buffer_add,224032,458,0
30,lag_feature_extract,82400,848,0
30,preference_plane_get,8416,156,0
30,tegra_daemon_sample,26944,140,0
30,rl_arbiter_act,10496,52,0
30,override_layer_step,7136,116,0
30,resource_manager_decide,10976,116,0
30,dvfs_controller_set,21248,379,0
31,replay_buffer_add,234016,458,0
31,lag_feature_extract,83520,848,0
31,preference_plane_get,8736,156,0
31,tegra_daemon_sample,26272,140,0
31,rl_arbiter_act,10080,52,0
31,override_layer_step,7264,116,0
31,resource_manager_decide,11360,116,0
31,dvfs_controller_set,21888,379,0
32,replay_buffer_add,232832,312,0
32,lag_feature_extract,91968,848,0
32,preference_plane_get,8864,156,0
32,tegra_daemon_sample,28704,140,0
32,rl_arbiter_act,11040,52,0
32,override_layer_step,7136,116,0
32,resource_manager_decide,11136,116,0
32,dvfs_controller_set,21824,452,0
33,replay_buffer_add,237216,458,0
33,lag_feature_extract,90880,848,0
33,preference_plane_get,8512,156,0
33,tegra_daemon_sample,27104,140,0
33,rl_arbiter_act,10560,52,0
33,override_layer_step,7168,116,0
33,resource_manager_decide,10976,116,0
33,dvfs_controller_set,21376,452,0
34,replay_buffer_add,229120,458,0
34,lag_feature_extract,81600,848,0
34,preference_plane_get,8896,156,0
34,tegra_daemon_sample,26944,140,0
34,rl_arbiter_act,10208,52,0
34,override_layer_step,7520,116,0
34,resource_manager_decide,11488,116,0
34,dvfs_controller_set,20864,452,0
35,replay_buffer_add,254720,458,0
35,lag_feature_extract,84064,848,0
35,preference_plane_get,8480,156,0
35,tegra_daemon_sample,26848,140,0
35,rl_arbiter_act,10336,52,0
35,override_layer_step,7264,116,0
35,resource_manager_decide,10912,116,0
35,dvfs_controller_set,21024,452,0
36,replay_buffer_add,226208,458,0
36,lag_feature_extract,97600,848,0
36,preference_plane_get,8288,156,0
36,tegra_daemon_sample,26624,140,0
36,rl_arbiter_act,9792,52,0
36,override_layer_step,7360,116,0
36,resource_manager_decide,11232,116,0
36,dvfs_controller_set,24512,796,0
37,replay_buffer_add,240928,330,0
37,lag_feature_extract,86208,848,0
37,preference_plane_get,8704,156,0
37,tegra_daemon_sample,26496,140,0
37,rl_arbiter_act,10688,52,0
37,override_layer_step,7296,116,0
37,resource_manager_decide,11040,116,0
37,dvfs_controller_set,20448,452,0
38,replay_buffer_add,261152,458,0
38,lag_feature_extract,91520,848,0
38,preference_plane_get,8480,156,0
38,tegra_daemon_sample,26080,140,0
38,rl_arbiter_act,11232,52,0
38,override_layer_step,7072,116,0
38,resource_manager_decide,10976,116,0
38,dvfs_controller_set,21184,452,0
39,replay_buffer_add,208864,458,0
