frame_idx,timestamp_s,latency_ms
0,10444327.677378,279.690
1,10444327.685198,7.695
2,10444327.717587,6.661
3,10444327.750673,6.328
4,10444327.784142,6.380
5,10444327.817487,6.310
6,10444327.850904,6.314
7,10444327.884539,6.530
8,10444327.917955,6.529
9,10444327.951105,6.262
10,10444327.984508,6.246
11,10444328.018066,6.338
12,10444328.051391,6.247
13,10444328.084864,6.303
14,10444328.118259,6.282
15,10444328.151558,6.162
16,10444328.184981,6.165
17,10444328.218453,6.222
18,10444328.251937,6.287
19,10444328.285584,6.512
20,10444328.318866,6.370
21,10444328.352360,6.376
22,10444328.385718,6.312
23,10444328.419094,6.270
24,10444328.452559,6.317
25,10444328.485977,6.317
26,10444328.519440,6.363
27,10444328.552840,6.346
28,10444328.586155,6.243
29,10444328.619491,6.163
30,10444328.653224,6.479
31,10444328.686913,6.685
32,10444328.720159,6.507
33,10444328.753555,6.479
34,10444328.786936,6.437
35,10444328.820344,6.422
36,10444328.853752,6.407
37,10444328.887240,6.481
38,10444328.920765,6.598
39,10444328.954291,6.696
40,10444328.987524,6.509
41,10444329.021042,6.536
42,10444329.055114,7.186
43,10444329.088361,7.022
44,10444329.121956,7.211
45,10444329.154466,6.312
46,10444329.188049,6.487
47,10444329.221749,6.780
48,10444329.255502,7.125
49,10444329.288707,6.923
50,10444329.321376,6.183
51,10444329.355529,6.870
52,10444329.388376,6.311
53,10444329.421925,6.452
54,10444329.456046,7.166
55,10444329.489074,6.784
56,10444329.522006,6.307
57,10444329.555653,6.547
58,10444329.588803,6.289
59,10444329.622187,6.266
60,10444329.655576,6.245
61,10444329.689005,6.209
62,10444329.723023,6.811
63,10444329.755928,6.303
64,10444329.789940,6.906
65,10444329.822637,6.196
66,10444329.856636,6.785
67,10444329.889467,6.208
68,10444329.923237,6.563
69,10444329.956314,6.232
70,10444329.990305,6.813
71,10444330.023252,6.297
72,10444330.057169,6.806
73,10444330.090328,6.553
74,10444330.123985,6.800
75,10444330.156884,6.292
76,10444330.190532,6.521
77,10444330.224337,6.919
78,10444330.257003,6.177
79,10444330.290397,6.160
80,10444330.323767,6.114
81,10444330.357246,6.137
82,10444330.390589,6.068
83,10444330.424024,6.087
84,10444330.457488,6.142
85,10444330.490855,6.096
86,10444330.524303,6.132
87,10444330.557709,6.125
88,10444330.591109,6.113
89,10444330.624522,6.113
90,10444330.657915,6.093
91,10444330.691391,6.121
92,10444330.724800,6.116
93,10444330.758209,6.111
94,10444330.791612,6.100
95,10444330.825020,6.095
96,10444330.858436,6.099
97,10444330.891843,6.093
98,10444330.925291,6.127
99,10444330.958668,6.089
100,10444330.992124,6.131
101,10444331.025593,6.143
102,10444331.058986,6.121
103,10444331.092359,6.084
104,10444331.125775,6.088
105,10444331.159136,6.037
106,10444331.192614,6.104
107,10444331.225997,6.073
108,10444331.259421,6.084
109,10444331.292867,6.119
110,10444331.326287,6.127
111,10444331.359764,6.156
112,10444331.393092,6.071
113,10444331.426487,6.055
114,10444331.459922,6.076
115,10444331.493334,6.075
116,10444331.526798,6.128
117,10444331.560177,6.094
118,10444331.593579,6.085
119,10444331.626967,6.061
120,10444331.660873,6.555
121,10444331.694707,6.940
122,10444331.727350,6.173
123,10444331.760725,6.136
124,10444331.794134,6.124
125,10444331.827502,6.078
126,10444331.860938,6.100
127,10444331.894345,6.094
128,10444331.927793,6.128
129,10444331.961269,6.190
130,10444331.994628,6.130
131,10444332.028135,6.187
132,10444332.061498,6.135
133,10444332.094837,6.061
134,10444332.128264,6.076
135,10444332.161667,6.067
136,10444332.195119,6.108
