step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,ram_total_mb,vdd_gpu_mw,vdd_cpu_mw,override_fired,override_reason
0,1163.4403187781572,115.04668742418289,598.7446736544371,1850.9865906089544,3741.7345587164164,3.1881814002990723,0.5833333730697632,0.0,42.7738819743439,0,17298,30697,11093,2799,1,latency 3741.73 > 2000.0
1,392.8070403635502,63.49292956292629,106.19478300213814,312.022240832448,874.7449293732643,0.11172938346862793,0.2857142984867096,0.0,53.94806293436511,0,18980,30697,12850,2682,0,
2,700.43676905334,61.62851117551327,102.2816002368927,330.89849539101124,1195.4819839447737,0.657310962677002,0.4583333432674408,0.05892555043101311,80.26972348916158,0,19897,30697,16358,2913,0,
3,674.3952315300703,61.0029436647892,102.36448049545288,556.9618865847588,1394.9553910642862,0.7735234498977661,0.5833333730697632,0.3535533845424652,75.63373219518017,0,20166,30697,16290,2865,0,
4,680.5479377508163,61.10028922557831,102.1606083959341,331.0688305646181,1175.111424177885,2.60060715675354,0.4583333730697632,0.176776722073555,72.69826710335093,0,20230,30697,15938,2799,0,
5,689.222976565361,62.28175945580006,107.24915191531181,323.6264009028673,1182.624127715826,0.7340364456176758,0.4166666865348816,0.117851123213768,86.77133721074935,0,20254,30697,17199,2930,0,
6,672.4121924489737,61.297887936234474,102.70918346941471,402.00396813452244,1238.65775950253,2.8443639278411865,0.5416666865348816,0.05892559140920639,70.75987607900166,0,20260,30697,16312,2695,0,
7,692.8300485014915,61.58006377518177,101.9461452960968,311.6748481988907,1168.2882886379957,0.7348998188972473,0.375,0.1767766922712326,78.66489862339748,0,20260,30697,17147,2889,0,
8,675.4006072878838,63.157375901937485,105.85455968976021,557.260287925601,1401.9180163741112,3.961780309677124,0.75,0.235702246427536,81.90107080568801,0,20260,30697,16875,2951,0,
9,672.0114555209875,61.55375950038433,102.28102467954159,314.4964799284935,1150.5738236010075,2.7017107009887695,0.5416666865348816,0.05892559140920639,72.39627160807228,0,20260,30697,16023,2743,0,
10,690.4706563800573,62.843168154358864,103.29155251383781,314.97462280094624,1171.8274559825659,3.319401741027832,0.625,0.05892555043101311,88.43050125491276,0,20260,30697,17228,2986,0,
11,394.8843516409397,61.50118261575699,102.49408148229122,332.17516727745533,891.2921603769064,0.11021555960178375,0.2857142984867096,0.0,77.00742271410381,0,20260,30697,16938,2756,0,
12,697.4840313196182,63.10204789042473,102.40448080003262,314.249312505126,1177.4753611534834,3.0835862159729004,0.5833333730697632,0.0,87.65716778330182,0,20262,30697,17643,2944,0,
13,671.8487348407507,61.60815991461277,102.22239978611469,552.6074878871441,1388.5236158967018,3.111520767211914,0.5833333730697632,0.0,79.01851925337036,0,20262,30697,16661,2830,0,
14,683.9111354202032,61.43334321677685,102.27833688259125,311.4411197602749,1159.2954881489277,2.819044828414917,0.4166666865348816,0.2357022911310196,74.58946135431931,0,20262,30697,16253,2818,0,
15,686.4003837108612,62.85427138209343,105.48825562000275,400.2376012504101,1255.2190404385328,2.7163844108581543,0.4166666865348816,0.2357022911310196,85.4381353997349,0,20262,30697,17112,2988,0,
16,673.1775682419538,61.56166456639767,102.03894414007664,368.3341443538666,1205.3460497409105,0.9596472382545471,0.375,0.0589255727827549,73.79463803473895,0,20262,30697,16139,2731,0,
17,698.0623994022608,61.409855261445045,102.54944115877151,330.3475193679333,1192.6128957420588,2.761610746383667,0.4583333730697632,0.176776722073555,81.02782743588654,0,20262,30697,17072,2929,0,
18,395.2632639557123,61.38038448989391,102.881183847785,464.0835840255022,1023.845599964261,0.7269415259361267,0.2857142984867096,0.0,80.43715024533691,0,20262,30697,17002,2757,0,
19,412.7081595361233,62.42236867547035,103.58604788780212,329.62198369205,908.6198396980762,0.11267490684986115,0.2857142984867096,0.0,83.62524627646103,0,20262,30697,17450,2908,0,
20,678.2803200185299,62.280479818582535,107.08102397620678,331.46691136062145,1179.3390400707722,0.8535668253898621,0.4583333432674408,0.05892555043101311,74.9561358285264,0,20262,30697,16452,2690,0,
21,396.35456167161465,62.38086335361004,102.82406397163868,312.3931847512722,874.1918411105871,0.11281632632017136,0.2857142984867096,0.0,74.26545912248682,0,20262,30697,16334,2583,0,
22,676.5811201184988,64.24758397042751,102.61430405080318,331.6061105579138,1175.2765104174614,2.567455530166626,0.4166666865348816,0.2357022911310196,70.05540032571513,0,20262,30697,15874,2555,0,
23,677.7103990316391,61.52697652578354,101.80144011974335,332.06550404429436,1173.3678076416254,3.1497020721435547,0.5833333730697632,0.0,68.55170800963624,0,20262,30697,15448,2528,0,
24,684.9629115313292,64.50697593390942,106.82179220020771,387.1494401246309,1243.6837758868933,1.0163676738739014,0.4583333432674408,0.05892555043101311,82.86311462205745,0,20262,30697,16707,2921,0,
25,396.32988907396793,61.22582405805588,102.27750428020954,334.24063958227634,894.3001925945282,0.11237406730651855,0.2857142984867096,0.0,75.71176366794057,0,20262,30697,16924,2737,0,
26,691.4607360959053,63.17257508635521,105.39859160780907,343.35225634276867,1203.6207355558872,0.6348586082458496,0.375,0.0589255727827549,87.74279093048166,0,20262,30697,17538,2988,0,
27,394.79407854378223,61.32374331355095,102.27900929749012,311.1547827720642,869.7812147438526,0.11257192492485046,0.2857142984867096,0.0,74.20517144945777,0,20262,30697,17045,2757,0,
28,698.572127148509,63.053855672478676,105.281887575984,311.3378565758467,1178.483935073018,3.1340630054473877,0.5833333730697632,0.0,84.44854533364654,0,20262,30697,17850,2953,0,
29,677.8206080198288,61.630912125110626,101.37987323105335,494.6735668927431,1335.7334081083536,0.553761899471283,0.3333333432674408,0.235702246427536,74.30874255534951,0,20263,30697,16520,2776,0,
30,686.6144947707653,61.21865659952164,101.95113532245159,333.440575748682,1183.452319353819,0.861870288848877,0.3750000298023224,0.294627845287323,76.29937578290932,0,20263,30697,16546,2810,0,
31,682.1747198700905,62.902944162487984,104.98758405447006,433.42969566583633,1283.73715095222,3.0941693782806396,0.625,0.05892555043101311,83.70864716031872,0,20263,30697,17035,3013,0,
32,672.3414715379477,61.477696523070335,101.87097638845444,347.37337566912174,1183.293055742979,3.106581449508667,0.5416666865348816,0.05892559140920639,71.96053660050713,0,20263,30697,16218,2763,0,
33,677.7458880096674,61.46259233355522,101.43916681408882,311.97481602430344,1152.8510712087154,0.8333532214164734,0.5416666865348816,0.1767766922712326,69.72850044911142,0,20263,30697,15640,2613,0,
34,673.8685760647058,61.330368742346764,103.13894413411617,577.9312960803509,1416.5033288300037,1.2324763536453247,0.5,0.3535533845424652,75.83318732124833,0,20263,30697,16237,2777,0,
35,676.2140486389399,61.459681019186974,101.73148848116398,331.9220785051584,1171.5565752238035,1.5870965719223022,0.5833333730697632,0.0,71.32072453495559,0,20263,30697,15990,2748,0,
36,675.3194257616997,61.791231855750084,100.92547163367271,310.6271047145128,1148.913761600852,1.0781559944152832,0.4166666865348816,0.0,71.24074479616512,0,20263,30697,15772,2597,0,
37,677.7664627879858,61.43244914710522,102.16735862195492,402.8562568128109,1244.4573435932398,1.1721965074539185,0.4166666865348816,0.0,68.56087093882016,0,20263,30697,15470,2574,0,
38,699.067872017622,61.39574386179447,102.59062424302101,312.0988477021456,1175.3862705081701,2.6603174209594727,0.4583333730697632,0.176776722073555,77.74684002093667,0,20263,30697,16751,2865,0,
39,671.2828800082207,62.59600073099136,104.18668761849403,559.0014718472958,1397.3038401454687,2.8641915321350098,0.5833333730697632,0.0,81.94267267611437,0,20263,30697,16851,2959,0,
40,670.1389756053686,61.25311926007271,101.24127939343452,330.26499301195145,1163.1251517683268,1.000654935836792,0.3333333432674408,0.235702246427536,71.61440098592922,0,20263,30697,15997,2762,0,
