prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10444329.642497,2397.704,12
1,10444330.252088,609.462,11
2,10444331.701862,57.751,1
3,10444334.310476,664.337,12
4,10444336.323278,675.705,12
5,10444338.339811,690.801,12
6,10444340.352749,702.318,12
7,10444342.363845,712.016,12
8,10444344.344239,692.205,12
9,10444346.353247,699.782,12
10,10444348.292246,637.355,11
11,10444350.355458,699.094,12
12,10444352.363567,705.792,12
13,10444354.355956,696.772,12
14,10444356.349715,689.101,12
15,10444358.373788,711.748,12
16,10444360.358115,694.684,12
17,10444362.370044,705.190,12
18,10444364.381452,715.182,12
19,10444365.729815,62.130,1
20,10444367.731246,61.498,1
21,10444370.370252,698.438,12
22,10444372.368505,695.264,12
23,10444374.374824,700.142,12
24,10444376.397481,721.445,12
25,10444378.392127,714.696,12
26,10444379.752300,73.448,1
27,10444382.414109,733.215,12
28,10444383.745132,62.858,1
29,10444386.395738,711.413,12
30,10444388.409223,723.497,12
31,10444390.390996,703.868,12
32,10444392.406779,718.752,12
33,10444394.397863,708.448,12
34,10444396.400929,710.077,12
35,10444398.414111,721.851,12
36,10444400.394230,700.575,12
37,10444402.419725,724.658,12
38,10444404.411253,714.806,12
39,10444406.396999,699.101,12
40,10444408.420426,721.107,12
41,10444409.761878,61.145,1
42,10444412.410042,707.260,12
43,10444414.406574,702.376,12
44,10444416.420131,714.496,12
45,10444417.895196,188.168,3
46,10444420.414958,706.017,12
47,10444422.426036,715.678,12
48,10444424.405700,693.936,12
49,10444426.444951,731.760,12
50,10444428.423435,708.863,12
51,10444430.421313,705.339,12
52,10444431.780200,62.825,1
53,10444434.463536,744.111,12
54,10444436.428104,708.071,12
55,10444437.796308,74.865,1
56,10444440.477780,754.301,12
57,10444442.425743,700.906,12
58,10444444.430434,704.188,12
59,10444446.435907,708.242,12
60,10444448.435039,705.984,12
61,10444450.432477,702.015,12
62,10444452.432454,700.584,12
63,10444454.441273,707.999,12
64,10444456.427303,692.628,12
65,10444458.447084,710.990,12
66,10444459.798278,60.797,1
67,10444462.452277,712.751,12
68,10444464.447183,706.273,12
69,10444466.434472,692.155,12
70,10444468.455329,711.602,12
71,10444469.806754,62.732,1
72,10444472.452032,705.956,12
73,10444474.454224,706.723,12
74,10444476.447446,698.520,12
75,10444478.454961,704.627,12
76,10444480.463269,711.534,12
77,10444482.459374,707.349,12
78,10444484.466397,712.968,12
79,10444486.480849,726.000,12
80,10444488.477235,721.002,12
81,10444490.475750,718.106,12
82,10444491.830922,71.878,1
83,10444494.477672,716.583,12
84,10444496.475073,712.584,12
85,10444498.484939,721.046,12
86,10444500.489309,724.016,12
87,10444502.481076,714.394,12
88,10444504.468120,700.032,12
89,10444506.489237,719.716,12
90,10444508.489816,718.891,12
91,10444510.472659,700.332,12
92,10444512.505127,731.366,12
93,10444514.499504,724.361,12
94,10444516.480932,704.396,12
95,10444518.500934,722.992,12
96,10444520.502219,722.894,12
97,10444522.506329,726.299,12
98,10444524.480250,698.843,12
99,10444526.484135,701.321,12
100,10444528.516875,732.650,12
101,10444530.497161,711.550,12
102,10444532.491018,704.012,12
103,10444534.484686,696.653,12
104,10444536.491964,702.516,12
105,10444538.485129,694.238,12
106,10444539.923546,131.220,2
107,10444542.499698,705.391,12
108,10444544.491872,696.154,12
109,10444546.489696,693.675,12
110,10444547.857941,60.498,1
111,10444550.518375,718.871,12
112,10444552.502003,701.975,12
113,10444553.861005,59.552,1
114,10444556.513238,709.721,12
115,10444558.516799,711.874,12
116,10444560.519940,713.603,12
117,10444562.510692,702.946,12
118,10444564.507115,697.942,12
119,10444565.880537,69.946,1
120,10444568.521820,709.188,12
121,10444570.518554,704.517,12
122,10444572.522930,707.488,12
123,10444574.531614,715.595,12
124,10444576.475751,658.329,12
