frame_idx,timestamp_s,latency_ms
0,10443809.228367,286.516
1,10443809.236303,7.823
2,10443809.268818,6.916
3,10443809.302168,6.842
4,10443809.335344,6.597
5,10443809.368647,6.481
6,10443809.402046,6.462
7,10443809.435393,6.394
8,10443809.468868,6.451
9,10443809.502239,6.405
10,10443809.535772,6.525
11,10443809.569146,6.433
12,10443809.602488,6.359
13,10443809.635989,6.445
14,10443809.669392,6.420
15,10443809.702758,6.369
16,10443809.736161,6.355
17,10443809.769583,6.364
18,10443809.802911,6.277
19,10443809.836446,6.397
20,10443809.869873,6.408
21,10443809.903205,6.273
22,10443809.936593,6.245
23,10443809.970067,6.306
24,10443810.003521,6.345
25,10443810.037097,6.505
26,10443810.070456,6.444
27,10443810.103864,6.434
28,10443810.137314,6.463
29,10443810.170621,6.353
30,10443810.204048,6.364
31,10443810.237601,6.447
32,10443810.271027,6.459
33,10443810.304402,6.419
34,10443810.337788,6.389
35,10443810.371064,6.249
36,10443810.404707,6.477
37,10443810.438334,6.685
38,10443810.471707,6.642
39,10443810.505075,6.585
40,10443810.538466,6.551
41,10443810.572034,6.638
42,10443810.606120,7.305
43,10443810.639193,6.970
44,10443810.672270,6.641
45,10443810.705606,6.557
46,10443810.739037,6.564
47,10443810.772472,6.575
48,10443810.806007,6.685
49,10443810.839523,6.791
50,10443810.872895,6.755
51,10443810.906132,6.531
52,10443810.939919,6.910
53,10443810.972706,6.291
54,10443811.006441,6.615
55,10443811.039506,6.275
56,10443811.073187,6.547
57,10443811.106347,6.337
58,10443811.140570,7.153
59,10443811.173612,6.787
60,10443811.207383,7.151
61,10443811.240279,6.591
62,10443811.273508,6.412
63,10443811.306780,6.277
64,10443811.340719,6.803
65,10443811.374459,7.135
66,10443811.407020,6.290
67,10443811.441108,6.967
68,10443811.474706,7.156
69,10443811.507799,6.840
70,10443811.541561,7.196
71,10443811.574347,6.528
72,10443811.608032,6.806
73,10443811.641686,7.053
74,10443811.674867,6.853
75,10443811.707673,6.254
76,10443811.741834,7.000
77,10443811.775036,6.796
78,10443811.808729,7.081
79,10443811.841924,6.867
80,10443811.874893,6.428
81,10443811.908576,6.659
82,10443811.942123,6.798
83,10443811.975917,7.183
84,10443812.008917,6.776
85,10443812.042085,6.538
86,10443812.075641,6.687
87,10443812.108600,6.240
88,10443812.142004,6.233
89,10443812.175365,6.179
90,10443812.208833,6.231
91,10443812.242293,6.237
92,10443812.275694,6.223
93,10443812.309119,6.235
94,10443812.342545,6.248
95,10443812.375916,6.203
96,10443812.409335,6.207
97,10443812.442725,6.187
98,10443812.476165,6.212
99,10443812.509557,6.190
100,10443812.542987,6.207
101,10443812.576510,6.280
102,10443812.609868,6.224
103,10443812.643205,6.148
104,10443812.676635,6.165
105,10443812.710099,6.216
106,10443812.743476,6.180
107,10443812.776924,6.215
108,10443812.810325,6.198
109,10443812.843717,6.176
110,10443812.877184,6.229
111,10443812.910632,6.217
112,10443812.943987,6.159
113,10443812.977462,6.213
114,10443813.010836,6.174
115,10443813.044271,6.197
116,10443813.077726,6.241
117,10443813.111095,6.201
118,10443813.144496,6.190
119,10443813.177928,6.213
120,10443813.211305,6.176
121,10443813.244794,6.217
122,10443813.278224,6.235
123,10443813.311580,6.179
124,10443813.344961,6.146
125,10443813.378396,6.169
126,10443813.412039,6.401
127,10443813.445484,6.436
128,10443813.479630,7.175
129,10443813.512676,6.812
130,10443813.545561,6.288
131,10443813.578991,6.255
132,10443813.612420,6.270
133,10443813.646272,6.708
134,10443813.680140,7.166
135,10443813.713180,6.795
136,10443813.746141,6.347
137,10443813.779459,6.255
138,10443813.813776,7.159
139,10443813.846794,6.782
140,10443813.880548,7.127
141,10443813.913489,6.612
142,10443813.947026,6.741
143,10443813.979969,6.278
144,10443814.013906,6.802
145,10443814.047673,7.162
146,10443814.080532,6.616
147,10443814.113581,6.254
148,10443814.146926,6.188
149,10443814.180348,6.197
150,10443814.213787,6.224
151,10443814.247199,6.185
152,10443814.280651,6.221
153,10443814.314034,6.189
154,10443814.347459,6.201
155,10443814.380901,6.228
156,10443814.414239,6.152
157,10443814.447685,6.184
158,10443814.481108,6.191
159,10443814.514525,6.194
160,10443814.547952,6.208
161,10443814.581461,6.223
162,10443814.614834,6.182
163,10443814.648266,6.199
164,10443814.681676,6.193
165,10443814.715080,6.183
166,10443814.748512,6.201
167,10443814.781902,6.178
168,10443814.815317,6.178
169,10443814.848809,6.257
170,10443814.882139,6.169
171,10443814.915628,6.203
172,10443814.949037,6.196
173,10443814.982408,6.153
174,10443815.015828,6.159
175,10443815.049268,6.184
176,10443815.082670,6.172
177,10443815.116169,6.260
178,10443815.149553,6.231
179,10443815.182885,6.149
180,10443815.216348,6.199
181,10443815.249786,6.192
182,10443815.283197,6.190
183,10443815.316591,6.171
184,10443815.350073,6.237
185,10443815.383416,6.168
186,10443815.417631,6.969
187,10443815.450430,6.358
188,10443815.483769,6.288
189,10443815.517700,6.808
190,10443815.550553,6.253
191,10443815.584866,7.107
192,10443815.617973,6.806
193,10443815.651713,7.139
194,10443815.684875,6.892
195,10443815.717680,6.291
196,10443815.751040,6.237
197,10443815.784860,6.644
198,10443815.817911,6.287
199,10443815.851838,6.800
200,10443815.884728,6.282
201,10443815.918175,6.266
202,10443815.952158,6.833
203,10443815.985891,7.160
204,10443816.018959,6.818
205,10443816.051791,6.244
206,10443816.085239,6.280
207,10443816.118601,6.226
208,10443816.152035,6.245
209,10443816.185404,6.196
210,10443816.218834,6.210
211,10443816.252485,6.408
212,10443816.285767,6.270
213,10443816.319110,6.197
214,10443816.352585,6.256
215,10443816.386001,6.259
216,10443816.419356,6.198
217,10443816.452753,6.182
218,10443816.486167,6.184
219,10443816.519560,6.162
220,10443816.552993,6.181
221,10443816.586504,6.234
222,10443816.619866,6.182
223,10443816.653298,6.200
224,10443816.686681,6.169
225,10443816.720130,6.204
226,10443816.753527,6.191
227,10443816.786875,6.127
228,10443816.820350,6.188
229,10443816.853740,6.164
230,10443816.887171,6.184
231,10443816.920647,6.208
232,10443816.954031,6.179
233,10443816.987453,6.189
234,10443817.021005,6.326
235,10443817.054260,6.166
236,10443817.087647,6.140
237,10443817.121199,6.278
238,10443817.154500,6.163
239,10443817.187926,6.176
240,10443817.222238,7.064
241,10443817.255112,6.475
242,10443817.288399,6.347
243,10443817.322083,6.611
244,10443817.355182,6.295
245,10443817.388929,6.635
246,10443817.422504,6.793
247,10443817.456277,7.150
248,10443817.489650,7.101
249,10443817.522788,6.825
250,10443817.556092,6.715
251,10443817.589443,6.602
252,10443817.623449,7.198
253,10443817.656811,7.151
254,10443817.689928,6.860
255,10443817.723559,7.080
256,10443817.756623,6.726
257,10443817.790039,6.727
258,10443817.823512,6.790
259,10443817.857308,7.178
260,10443817.890280,6.740
261,10443817.925070,8.062
262,10443817.957542,7.122
263,10443817.990837,7.005
264,10443818.023915,6.672
265,10443818.057317,6.664
266,10443818.090899,6.834
267,10443818.123832,6.357
268,10443818.157176,6.290
269,10443818.190619,6.322
270,10443818.223942,6.230
271,10443818.257700,6.513
272,10443818.291208,6.609
