prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10443811.405038,2382.942,12
1,10443812.076366,671.201,12
2,10443814.080938,674.353,12
3,10443816.078911,670.898,12
4,10443818.097399,687.955,12
5,10443820.095244,684.376,12
6,10443821.473126,61.109,1
7,10443824.073118,659.040,11
8,10443826.117740,702.217,12
9,10443828.134287,718.256,12
10,10443830.135104,717.675,12
11,10443831.494551,75.712,1
12,10443834.142333,722.303,12
13,10443836.126653,705.243,12
14,10443838.146576,723.740,12
15,10443839.485498,61.471,1
16,10443842.127386,701.316,12
17,10443844.154680,727.189,12
18,10443846.143919,715.894,12
19,10443848.164722,735.258,12
20,10443850.163538,732.688,12
21,10443852.152280,720.031,12
22,10443854.169139,735.509,12
23,10443856.163471,728.461,12
24,10443858.167686,731.285,12
25,10443860.172487,734.707,12
26,10443862.161262,722.103,12
27,10443864.177244,736.680,12
28,10443866.162140,720.205,12
29,10443867.509104,65.762,1
30,10443870.168830,724.776,12
31,10443872.165355,719.914,12
32,10443873.523239,76.399,1
33,10443875.510820,62.795,1
34,10443878.182329,732.247,12
35,10443880.168542,717.078,12
36,10443881.515831,62.982,1
37,10443884.191762,736.856,12
38,10443886.175793,719.515,12
39,10443888.195225,737.557,12
40,10443890.183613,724.568,12
41,10443892.156815,696.787,12
42,10443894.179816,718.380,12
43,10443896.172053,709.237,12
44,10443898.164036,700.017,12
45,10443900.184932,719.508,12
46,10443902.186188,719.381,12
47,10443904.166833,698.811,12
48,10443906.182893,713.461,12
49,10443908.188727,717.907,12
50,10443910.167694,695.484,12
51,10443911.534861,61.240,1
52,10443913.767726,292.066,5
53,10443916.183886,706.413,12
54,10443918.201834,722.942,12
55,10443920.174348,694.071,12
56,10443922.207908,726.224,12
57,10443924.187566,704.506,12
58,10443926.202977,718.950,12
59,10443928.200051,714.641,12
60,10443930.191389,704.597,12
61,10443932.203297,715.118,12
62,10443934.211393,721.828,12
63,10443936.201101,710.150,12
64,10443938.205241,712.911,12
65,10443940.204817,711.100,12
66,10443941.555666,60.569,1
67,10443944.227090,729.963,12
68,10443946.215649,717.160,12
69,10443948.212187,712.314,12
70,10443950.220546,719.285,12
71,10443952.199778,697.144,12
72,10443954.214106,710.057,12
73,10443956.214373,708.881,12
74,10443958.226651,719.762,12
75,10443960.215556,707.272,12
76,10443962.222965,713.270,12
77,10443963.824974,313.878,5
78,10443965.587133,74.224,1
79,10443968.227808,712.868,12
80,10443970.231133,714.799,12
81,10443972.214113,696.391,12
82,10443974.241915,722.772,12
83,10443976.236302,715.774,12
84,10443978.224944,703.026,12
85,10443980.220542,697.204,12
86,10443982.225776,701.761,12
87,10443984.238940,713.522,12
88,10443985.590074,63.258,1
89,10443988.251317,722.439,12
90,10443990.244877,714.614,12
91,10443992.228425,696.778,12
92,10443994.254677,722.659,12
93,10443996.234341,700.947,12
94,10443998.237833,703.023,12
95,10444000.262515,726.302,12
96,10444002.252800,715.204,12
97,10444003.602477,63.496,1
98,10444006.262943,721.916,12
99,10444008.247225,704.825,12
100,10444010.241311,697.493,12
101,10444012.262740,717.510,12
102,10444013.840230,293.615,5
103,10444015.610774,62.348,1
104,10444018.264125,713.656,12
105,10444020.261990,710.118,12
106,10444022.264572,712.549,12
107,10444024.270721,717.306,12
108,10444026.258680,703.867,12
109,10444027.616645,60.623,1
110,10444030.275311,717.224,12
111,10444032.276751,717.271,12
112,10444034.257579,696.711,12
113,10444036.279354,717.076,12
114,10444038.281373,717.716,12
115,10444040.264644,699.595,12
116,10444042.286276,719.816,12
117,10444044.287380,719.546,12
118,10444046.276576,707.351,12
119,10444047.631375,60.748,1
120,10444050.289872,717.206,12
121,10444052.289669,715.609,12
122,10444054.300329,724.877,12
123,10444056.295038,718.204,12
124,10444058.273496,695.251,12
125,10444059.639129,59.463,1
